"Axis1","Axis2","Axis3","sample_id","population","group"
-3.36253955360254,-4.71844703187167,1.87540616830496,"Abbot_20_01","Abbot","Flathead"
-3.50016332507846,-5.23601637002391,2.17554210503991,"Abbot_20_03","Abbot","Flathead"
-3.59840643908425,-5.59536295002234,2.4517075430258,"Abbot_20_26","Abbot","Flathead"
-6.02253656699247,-0.400942044557304,0.338754441095494,"AdamsBR3_17_01","Adams","Athabasca"
-6.44614113848959,-0.311463937641786,0.494582090222814,"AdamsBR3_17_02","Adams","Athabasca"
-5.88369293399517,-0.240399989825527,0.265562695980925,"AdamsBR3_17_03","Adams","Athabasca"
-5.30291061941842,-0.647508306111446,0.444571942105849,"AdamsBR3_17_07","Adams","Athabasca"
-6.19042549500713,-0.282687147847331,0.414648138380855,"AdamsBR3_17_09","Adams","Athabasca"
-5.82911936570785,-0.00950438084346996,0.281367732893078,"AdamsBR3_17_11","Adams","Athabasca"
-6.20595476377395,-0.963010564588039,0.589468781547374,"AdamsBR3_17_12","Adams","Athabasca"
-5.25933703385876,-1.05403634102568,0.635464921396107,"AdamsBR3_17_13","Adams","Athabasca"
-6.32595409620026,-0.210982697997373,0.414371866634026,"AdamsBR3_17_15","Adams","Athabasca"
-5.97022206751344,-1.04783348592695,0.739276798759262,"AdamsBR3_17_19","Adams","Athabasca"
-6.00344576116701,-0.488040689268509,0.457046331841165,"AdamsBR3_17_20","Adams","Athabasca"
-6.26531938528307,-0.238556547093002,0.42713866753499,"AdamsBR3_17_22","Adams","Athabasca"
-6.23912896932994,-0.369702286262564,0.450297419537656,"AdamsBR3_17_24","Adams","Athabasca"
-6.45434046830197,0.0902623110121643,0.307765809434871,"AdamsBR3_17_25","Adams","Athabasca"
-5.88538430258349,-0.699967488350193,0.526456806870615,"AdamsBR3_17_28","Adams","Athabasca"
-4.41227707342446,-3.85290697792872,1.51504100638293,"ARD_20_01","Arlee","Hatchery_CRT"
-4.41132635859181,-4.99241867040927,2.13886236369675,"ARD_20_02","Arlee","Hatchery_CRT"
-3.93015070679481,-5.27937036248489,2.08703649562295,"ARD_20_03","Arlee","Hatchery_CRT"
-3.87587878373022,-5.64799018345621,2.22803863281182,"ARD_20_05","Arlee","Hatchery_CRT"
-4.66890231275367,-3.21315675346886,1.61985965520089,"ARD_20_06","Arlee","Hatchery_CRT"
-4.2817626772487,-4.72705015623465,1.97945064231764,"ARD_20_07","Arlee","Hatchery_CRT"
-4.26582637610365,-4.8288743010838,1.8161068321141,"ARD_20_10","Arlee","Hatchery_CRT"
-4.17741355542359,-4.43270341446603,1.81612383893616,"ARD_20_11","Arlee","Hatchery_CRT"
-4.15526932824577,-4.69363394157482,1.59676506376598,"ARD_20_12","Arlee","Hatchery_CRT"
-4.12560964819455,-5.10135194944241,2.13705879368903,"ARD_20_13","Arlee","Hatchery_CRT"
-3.9079994343735,-5.18783879316328,1.8998578570969,"ARD_20_14","Arlee","Hatchery_CRT"
-3.73288188407348,-5.94926485615338,2.24005019700134,"ARD_20_15","Arlee","Hatchery_CRT"
-4.2817626772487,-4.72705015623465,1.97945064231764,"ARD_20_16","Arlee","Hatchery_CRT"
-4.18461800610408,-4.27783262819925,2.02132147822701,"ARD_20_17","Arlee","Hatchery_CRT"
-4.50296920660657,-4.42157370511931,1.74348124729566,"ARD_20_18","Arlee","Hatchery_CRT"
-4.34100454608271,-4.27759747265756,1.78365432114004,"ARD_20_20","Arlee","Hatchery_CRT"
-4.45715168069517,-4.39915739832221,1.92234997211376,"ARD_20_21","Arlee","Hatchery_CRT"
-3.65805984087751,-5.81618348471725,2.24500137314792,"ARD_20_22","Arlee","Hatchery_CRT"
-4.60766264625799,-4.53133718253101,2.0658981955926,"ARD_20_23","Arlee","Hatchery_CRT"
-4.13827343843604,-5.45417678275726,2.29026207896295,"ARD_20_24","Arlee","Hatchery_CRT"
-4.66326222105932,-3.84072601733291,1.6085006966699,"ARD_20_25","Arlee","Hatchery_CRT"
-3.60917784275199,-5.39518973712539,2.05326160228683,"ARD_20_26","Arlee","Hatchery_CRT"
-3.89110949753476,-5.77611642775803,2.19486570595216,"ARD_20_27","Arlee","Hatchery_CRT"
-4.01167271490272,-5.0297057755534,1.89915861669326,"ARD_20_28","Arlee","Hatchery_CRT"
-4.39833825277786,-5.11757120557955,2.09798904571332,"ARD_20_29","Arlee","Hatchery_CRT"
-4.114749407444,-5.51234476229063,2.2252990923496,"ARD_20_30","Arlee","Hatchery_CRT"
-4.02485424786524,-5.39461187686273,2.14238059763862,"ARD_20_31","Arlee","Hatchery_CRT"
-3.77964591525677,-6.35201759546834,2.66559594313055,"Arlee_06_04","Arlee","Hatchery_CRT"
-3.83361645334782,-4.98995073577932,2.04866189717524,"Arlee_06_05","Arlee","Hatchery_CRT"
-3.96687716369706,-5.43082454193708,2.1541441644098,"Arlee_06_10","Arlee","Hatchery_CRT"
-3.48730643266993,-7.30652459342645,2.8962258770323,"Arlee_06_11","Arlee","Hatchery_CRT"
-4.07762091608474,-4.85963256271897,1.77397303741116,"Arlee_06_12","Arlee","Hatchery_CRT"
-3.73123764282871,-4.87147853405562,1.79434772412671,"Arlee_06_14","Arlee","Hatchery_CRT"
-4.03852959481084,-5.16021258837521,2.00224770845889,"Arlee_06_15","Arlee","Hatchery_CRT"
-4.804412777437,-3.76327215451037,1.43690394180073,"Arlee_06_16","Arlee","Hatchery_CRT"
-3.92309815172212,-5.7903059000289,2.26933965067314,"Arlee_06_17","Arlee","Hatchery_CRT"
-3.87939417624907,-6.07310393407805,2.42103265209821,"Arlee_06_18","Arlee","Hatchery_CRT"
-4.09571259290773,-5.10144837399964,1.97717244366154,"Arlee_06_19","Arlee","Hatchery_CRT"
-3.96062004582312,-5.75824947611218,2.32562361739985,"Arlee_06_20","Arlee","Hatchery_CRT"
-3.88250321148992,-5.71960793250482,2.226059641895,"Arlee_06_21","Arlee","Hatchery_CRT"
-3.86810086592683,-4.95362082955506,1.81675068072878,"Arlee_06_22","Arlee","Hatchery_CRT"
-3.81467344393464,-5.92528836445045,2.33861850390471,"Arlee_06_23","Arlee","Hatchery_CRT"
-3.94068054706388,-5.83147930175812,2.58057018422748,"Arlee_06_24","Arlee","Hatchery_CRT"
-3.72999088815406,-4.15160132567302,1.73122528646594,"Arlee_08_02","Arlee","Hatchery_CRT"
-3.23874080697446,-5.47153355684388,1.97761752795643,"Arlee_08_07","Arlee","Hatchery_CRT"
-3.77568067528473,-6.26502648122362,2.5178310558345,"Arlee_08_08","Arlee","Hatchery_CRT"
-3.49822459379114,-6.26427161821787,2.47231131340371,"Arlee_08_09","Arlee","Hatchery_CRT"
-3.65322677484777,-5.5148233689621,2.0238912628203,"Arlee_08_11","Arlee","Hatchery_CRT"
-3.48448506780309,-6.34103168260302,2.39151254054066,"Arlee_08_13","Arlee","Hatchery_CRT"
-3.43295884102456,-6.34407516419519,2.45972514972915,"Arlee_08_14","Arlee","Hatchery_CRT"
-3.98055861521249,-5.3236106526353,2.44926273730526,"Arlee_08_16","Arlee","Hatchery_CRT"
-3.83626491566364,-5.75913490894124,2.31002705670612,"Arlee_08_18","Arlee","Hatchery_CRT"
-3.9617315234569,-5.596478215057,2.15751730574627,"Arlee_08_20","Arlee","Hatchery_CRT"
-3.95908050815211,-5.31006857706272,2.08285361042514,"Arlee_BY21_01","Arlee","Hatchery_CRT"
-3.25907838349107,-6.39878830836775,2.46892980874522,"Arlee_BY21_02","Arlee","Hatchery_CRT"
-3.79088270185469,-5.13799612693741,1.86647474612764,"Arlee_BY21_03","Arlee","Hatchery_CRT"
-3.80072965990677,-4.00417157747256,1.54793456385267,"Arlee_BY21_04","Arlee","Hatchery_CRT"
-4.1852640696707,-5.03382548826701,1.99485452313791,"Arlee_BY21_05","Arlee","Hatchery_CRT"
-3.75648827875556,-5.91157720010281,2.29648849972835,"Arlee_BY21_06","Arlee","Hatchery_CRT"
-4.05377278709136,-5.04613187280209,1.86430048065613,"Arlee_BY21_07","Arlee","Hatchery_CRT"
-3.88470846631455,-5.19099203498434,1.93355459807453,"Arlee_BY21_08","Arlee","Hatchery_CRT"
-3.83745137721277,-5.26435701695144,1.88429551111263,"Arlee_BY21_09","Arlee","Hatchery_CRT"
-3.84789051526337,-6.32039001980415,2.68959290404462,"Arlee_BY21_10","Arlee","Hatchery_CRT"
