"Axis1","Axis2","Axis3","sample_id","population","group"
-1.67915507884951,0.408554510196137,-1.24534835213685,"Abbot_20_01","Abbot","Flathead"
-2.34886504631482,-1.36825666365169,2.00340603433848,"Abbot_20_03","Abbot","Flathead"
-2.70114926277611,2.6460329443554,2.79498095993344,"Abbot_20_26","Abbot","Flathead"
-3.28404617625987,-1.97515871165203,3.88389852549832,"ARD_20_01","Arlee","Hatchery_CRT"
-3.94325185563793,-4.81705632882399,-2.51809413938035,"ARD_20_02","Arlee","Hatchery_CRT"
-3.69737389898694,-2.90602255641832,-4.47665049115365,"ARD_20_03","Arlee","Hatchery_CRT"
-3.59524197863445,-3.3174504329662,0.855780854808147,"ARD_20_05","Arlee","Hatchery_CRT"
-4.13472969447993,-1.17217098003054,-1.83386706937428,"ARD_20_06","Arlee","Hatchery_CRT"
-3.97800567337151,-1.82755625922168,1.47298669680615,"ARD_20_07","Arlee","Hatchery_CRT"
-4.08955024208057,-3.88542518816065,1.4213380284215,"ARD_20_10","Arlee","Hatchery_CRT"
-2.7143259421009,-2.23997309839598,-1.177050027379,"ARD_20_11","Arlee","Hatchery_CRT"
-2.19236583573864,-0.811229917037315,2.04944939332383,"ARD_20_12","Arlee","Hatchery_CRT"
-4.20015469010059,-4.15997794908125,-0.928854213560923,"ARD_20_13","Arlee","Hatchery_CRT"
-3.40620449912564,-2.3644681904264,4.63539812184208,"ARD_20_14","Arlee","Hatchery_CRT"
-3.40620449912564,-2.3644681904264,4.63539812184208,"ARD_20_15","Arlee","Hatchery_CRT"
-3.64046800109213,-2.63095652695527,3.27002326040058,"ARD_20_16","Arlee","Hatchery_CRT"
-3.31819572504496,0.108722350518581,-3.92174831689603,"ARD_20_17","Arlee","Hatchery_CRT"
-3.76755194148867,-5.37789275134093,-1.18411961208244,"ARD_20_18","Arlee","Hatchery_CRT"
-2.52281893913761,-0.274116462197278,0.198732344332997,"ARD_20_20","Arlee","Hatchery_CRT"
-2.68405882613117,-0.325023511550665,3.86288738527683,"ARD_20_21","Arlee","Hatchery_CRT"
-3.12598371720217,-3.86192126071354,-1.3361440434646,"ARD_20_22","Arlee","Hatchery_CRT"
-3.66252329845653,-0.782835075758651,-2.76622284409966,"ARD_20_23","Arlee","Hatchery_CRT"
-3.4755803053758,-1.08087936271254,2.03086306912839,"ARD_20_24","Arlee","Hatchery_CRT"
-3.92639707230412,-1.89639259672736,0.0282965350418207,"ARD_20_25","Arlee","Hatchery_CRT"
-3.0692715718995,-1.89803863623631,-0.119857396757727,"ARD_20_26","Arlee","Hatchery_CRT"
-3.73050890067337,-1.01813437973673,-0.618028327800109,"ARD_20_27","Arlee","Hatchery_CRT"
-3.21185226372591,-1.57526989819074,-0.917533999248634,"ARD_20_28","Arlee","Hatchery_CRT"
-3.43854154167335,-2.89087652628606,-3.45245286427747,"ARD_20_29","Arlee","Hatchery_CRT"
-4.32844996519692,-3.27309354179104,-3.46071949183493,"ARD_20_30","Arlee","Hatchery_CRT"
-3.05097748265285,-1.21521234080711,-1.99716717313558,"ARD_20_31","Arlee","Hatchery_CRT"
-1.81986266193931,-1.73462136987916,5.5438488731167,"Arlee_06_04","Arlee","Hatchery_CRT"
-3.71723239317346,-2.96967878986344,-3.73711202064109,"Arlee_06_05","Arlee","Hatchery_CRT"
-3.78201433149422,-2.06576362130279,-1.21753080693097,"Arlee_06_10","Arlee","Hatchery_CRT"
-2.94874751111275,-0.0675569042136163,-1.89118641712283,"Arlee_06_11","Arlee","Hatchery_CRT"
-2.66760953111716,0.816206856761994,0.26291200846066,"Arlee_06_12","Arlee","Hatchery_CRT"
-3.61148972273462,-3.34549116207199,-3.22019595042788,"Arlee_06_14","Arlee","Hatchery_CRT"
-2.73852479902291,-0.553347488247497,1.96784049401564,"Arlee_06_15","Arlee","Hatchery_CRT"
-4.02548545045934,-1.51270189753336,2.64519634001768,"Arlee_06_16","Arlee","Hatchery_CRT"
-3.50426574718231,-0.844410844598144,-2.29309794446203,"Arlee_06_17","Arlee","Hatchery_CRT"
-3.8170327781382,-0.939667406615916,-2.98106032515819,"Arlee_06_18","Arlee","Hatchery_CRT"
-3.93278727833565,-1.62400562162225,7.35627658040285,"Arlee_06_19","Arlee","Hatchery_CRT"
-4.29337915800404,-2.51899028088839,-4.23340542086634,"Arlee_06_20","Arlee","Hatchery_CRT"
-3.60567209458331,-1.26224923974068,-4.25205346810488,"Arlee_06_21","Arlee","Hatchery_CRT"
-2.71575634924705,-0.733368620146176,1.68542973831195,"Arlee_06_22","Arlee","Hatchery_CRT"
-1.91132169631175,-1.49446277001095,4.86510196638014,"Arlee_06_23","Arlee","Hatchery_CRT"
-3.74711282169421,-2.30036361445644,0.640023735977539,"Arlee_06_24","Arlee","Hatchery_CRT"
