,Sample_ID,Population,Group,Lat,Long,Length (mm),CRT_ELAI,IRT_ELAI,RBT_ELAI,WCT_ELAI,YCT_ELAI
Lower Kootenai R,,,,,,,,,,,
,CallahanNF_22_27,Callahan_NF,Callahan_Cr,48.437488,-116.044891,164,0.010829603,0.988452312,0.999281915,0.000718085,0
,CallahanNF_22_28,Callahan_NF,Callahan_Cr,48.437488,-116.044891,145,0.105985076,0.892789462,0.998774538,0.001225462,0
,CallahanNF_22_29,Callahan_NF,Callahan_Cr,48.437488,-116.044891,149,0.143988601,0.854463178,0.998451779,0.001548221,0
,CallahanNF_22_30,Callahan_NF,Callahan_Cr,48.437488,-116.044891,163,0.118672768,0.878613762,0.997286529,0.002713471,0
,,,,,,,,,,,
,CallahanSF_22_01,Callahan_SF,Callahan_Cr,48.4137,-116.0459,145,0.105590211,0.893313736,0.998903947,0.001096053,0
,CallahanSF_22_02,Callahan_SF,Callahan_Cr,48.4137,-116.0459,210,0.07276409,0.925262494,0.998026584,0.001973416,0
,CallahanSF_22_03,Callahan_SF,Callahan_Cr,48.4137,-116.0459,167,0.070961518,0.927836271,0.998797789,0.001202211,0
,CallahanSF_22_04,Callahan_SF,Callahan_Cr,48.4137,-116.0459,209,0.086959947,0.911486674,0.998446621,0.001553379,0.00E+00
,CallahanSF_22_05,Callahan_SF,Callahan_Cr,48.4137,-116.0459,177,0.059396665,0.937953658,0.997350323,0.002649677,0
,CallahanSF_22_06,Callahan_SF,Callahan_Cr,48.4137,-116.0459,143,0.11521215,0.883655358,0.998867508,0.001132492,0
,CallahanSF_22_07,Callahan_SF,Callahan_Cr,48.4137,-116.0459,152,0.061238431,0.937603262,0.998841693,0.001158307,0
,CallahanSF_22_08,Callahan_SF,Callahan_Cr,48.4137,-116.0459,135,0.073220541,0.923236854,0.996457395,0.003542605,0
,CallahanSF_22_09,Callahan_SF,Callahan_Cr,48.4137,-116.0459,184,0.036809117,0.96146076,0.998269877,0.001730123,0
,CallahanSF_22_10,Callahan_SF,Callahan_Cr,48.4137,-116.0459,166,0.047517146,0.951282893,0.99880004,0.00119996,0
,CallahanSF_22_11,Callahan_SF,Callahan_Cr,48.4137,-116.0459,164,0.096522895,0.902004278,0.998527173,0.001472827,0
,CallahanSF_22_12,Callahan_SF,Callahan_Cr,48.4137,-116.0459,135,0.046054884,0.95254091,0.998595794,0.001404206,0
,CallahanSF_22_13,Callahan_SF,Callahan_Cr,48.4137,-116.0459,133,0.069375887,0.928336629,0.997712515,0.002287485,0
,CallahanSF_22_14,Callahan_SF,Callahan_Cr,48.4137,-116.0459,189,0.086035348,0.912168944,0.998204292,0.001795708,0
,CallahanSF_22_15,Callahan_SF,Callahan_Cr,48.4137,-116.0459,179,0.084820363,0.913693395,0.998513758,0.001486242,0
,CallahanSF_22_16,Callahan_SF,Callahan_Cr,48.4137,-116.0459,136,0.062154219,0.936006302,0.998160521,0.001640097,0.000199382
,CallahanSF_22_17,Callahan_SF,Callahan_Cr,48.4137,-116.0459,170,0.051372658,0.947082324,0.998454982,0.001545018,0
,CallahanSF_22_18,Callahan_SF,Callahan_Cr,48.4137,-116.0459,157,0.072559256,0.926090563,0.99864982,0.00135018,0
,CallahanSF_22_19,Callahan_SF,Callahan_Cr,48.4137,-116.0459,164,0.056027926,0.942492608,0.998520534,0.001479466,0
,CallahanSF_22_20,Callahan_SF,Callahan_Cr,48.4137,-116.0459,164,0.090569394,0.908265726,0.99883512,0.00116488,0
,CallahanSF_22_21,Callahan_SF,Callahan_Cr,48.4137,-116.0459,193,0.029389487,0.969701088,0.999090575,9.09E-04,0
,CallahanSF_22_23,Callahan_SF,Callahan_Cr,48.4137,-116.0459,145,0.136205347,0.861395458,0.997600804,0.002399196,0
,CallahanSF_22_24,Callahan_SF,Callahan_Cr,48.4137,-116.0459,157,0.065752165,0.930695581,0.996447746,0.003552254,0
,CallahanSF_22_25,Callahan_SF,Callahan_Cr,48.4137,-116.0459,171,0.086539712,0.912885048,0.99942476,0.00057524,0
,CallahanSF_22_26,Callahan_SF,Callahan_Cr,48.4137,-116.0459,112,0.062295243,0.9362103,0.998505543,0.001494457,0
,CallahanSF_22_27,Callahan_SF,Callahan_Cr,48.4137,-116.0459,173,0.105512685,0.893333417,0.998846102,0.001153898,0
,CallahanSF_22_28,Callahan_SF,Callahan_Cr,48.4137,-116.0459,123,0.059229765,0.937403017,0.996632782,0.001485526,0.001881692
,CallahanSF_22_29,Callahan_SF,Callahan_Cr,48.4137,-116.0459,146,0.087031197,0.911444803,0.998476,0.001524,0
,CallahanSF_22_30,Callahan_SF,Callahan_Cr,48.4137,-116.0459,128,0.035379134,0.962350195,0.99772933,0.00227067,0
,,,,,,,,,,,
,Porcupine_23_121,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,150,0.04572597,0.00130902,0.04703499,0.95296501,0
,Porcupine_23_122,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,145,0.009583603,0.000363802,0.009947405,0.990052595,0
,Porcupine_23_123,Porcupine_LakeCr,Lo_Kootenai_R,48.34222,-115.83213,129,0.013566649,0,0.013566649,0.986433351,0
