sample_id	population	group
Bear_21_100	Bear_21	Kootenai
Bear_24_001	Bear_24	Kootenai
Bear_24_002	Bear_24	Kootenai
Bear_24_003	Bear_24	Kootenai
Bear_24_004	Bear_24	Kootenai
Bear_24_005	Bear_24	Kootenai
Bear_24_007	Bear_24	Kootenai
Bear_24_008	Bear_24	Kootenai
Bear_24_012	Bear_24	Kootenai
Bear_24_013	Bear_24	Kootenai
Bear_24_014	Bear_24	Kootenai
Bear_24_015	Bear_24	Kootenai
Bear_24_016	Bear_24	Kootenai
Bear_24_017	Bear_24	Kootenai
Bear_24_018	Bear_24	Kootenai
Bear_24_019	Bear_24	Kootenai
Bear_24_020	Bear_24	Kootenai
Bear_24_021	Bear_24	Kootenai
Bear_24_022	Bear_24	Kootenai
Bear_24_023	Bear_24	Kootenai
Bear_24_024	Bear_24	Kootenai
Bear_24_025	Bear_24	Kootenai
Bear_24_027	Bear_24	Kootenai
Bear_24_028	Bear_24	Kootenai
Bear_24_029	Bear_24	Kootenai
Bear_24_030	Bear_24	Kootenai
Bear_24_031	Bear_24	Kootenai
Bear_24_032	Bear_24	Kootenai
Bear_24_033	Bear_24	Kootenai
Bear_24_034	Bear_24	Kootenai
Bear_24_035	Bear_24	Kootenai
Bear_24_036	Bear_24	Kootenai
Bear_24_037	Bear_24	Kootenai
Bear_24_038	Bear_24	Kootenai
Bear_24_039	Bear_24	Kootenai
Bear_24_040	Bear_24	Kootenai
Bear_24_041	Bear_24	Kootenai
Bear_24_042	Bear_24	Kootenai
Bear_24_043	Bear_24	Kootenai
Bear_24_044	Bear_24	Kootenai
Bear_24_045	Bear_24	Kootenai
Bear_24_046	Bear_24	Kootenai
Bear_24_047	Bear_24	Kootenai
Bear_24_048	Bear_24	Kootenai
Bear_24_049	Bear_24	Kootenai
Bear_24_050	Bear_24	Kootenai
Bear_24_051	Bear_24	Kootenai
Bear_24_052	Bear_24	Kootenai
Bear_24_053	Bear_24	Kootenai
Bear_24_056	Bear_24	Kootenai
Bear_24_057	Bear_24	Kootenai
Bear_24_058	Bear_24	Kootenai
Bear_24_059	Bear_24	Kootenai
Bear_24_060	Bear_24	Kootenai
Bear_24_061	Bear_24	Kootenai
Bear_24_062	Bear_24	Kootenai
Bear_24_063	Bear_24	Kootenai
Bear_24_064	Bear_24	Kootenai
Bear_24_065	Bear_24	Kootenai
Bear_24_066	Bear_24	Kootenai
Bear_24_067	Bear_24	Kootenai
Bear_24_068	Bear_24	Kootenai
Bear_24_069	Bear_24	Kootenai
Bear_24_070	Bear_24	Kootenai
Bear_24_071	Bear_24	Kootenai
Bear_24_072	Bear_24	Kootenai
Bear_24_073	Bear_24	Kootenai
Bear_24_074	Bear_24	Kootenai
Bear_24_075	Bear_24	Kootenai
Bear_24_076	Bear_24	Kootenai
Bear_24_077	Bear_24	Kootenai
Bear_24_078	Bear_24	Kootenai
Bear_24_079	Bear_24	Kootenai
Bear_24_080	Bear_24	Kootenai
Bear_24_081	Bear_24	Kootenai
Bear_24_082	Bear_24	Kootenai
Bear_24_083	Bear_24	Kootenai
Bear_24_084	Bear_24	Kootenai
Bear_24_086	Bear_24	Kootenai
Bear_24_087	Bear_24	Kootenai
Bear_24_088	Bear_24	Kootenai
Bear_24_090	Bear_24	Kootenai
Bear_24_091	Bear_24	Kootenai
Bear_24_092	Bear_24	Kootenai
Bear_24_093	Bear_24	Kootenai
Bear_24_094	Bear_24	Kootenai
Bear_24_095	Bear_24	Kootenai
Bear_24_096	Bear_24	Kootenai
Bear_24_097	Bear_24	Kootenai
Bear_24_098	Bear_24	Kootenai
Bear_24_100	Bear_24	Kootenai
Bear_24_101	Bear_24	Kootenai
Bear_24_102	Bear_24	Kootenai
BearCreek_20_001	Bear_20	Kootenai
BearCreek_20_002	Bear_20	Kootenai
BearCreek_20_003	Bear_20	Kootenai
BearCreek_20_006	Bear_20	Kootenai
BearCreek_20_008	Bear_20	Kootenai
BearCreek_20_014	Bear_20	Kootenai
BearCreek_20_016	Bear_20	Kootenai
BearCreek_20_017	Bear_20	Kootenai
BearCreek_20_024	Bear_20	Kootenai
BearCreek_20_025	Bear_20	Kootenai
BearCreek_20_036	Bear_20	Kootenai
BearCreek_20_038	Bear_20	Kootenai
BearCreek_20_052	Bear_20	Kootenai
BearCreek_20_059	Bear_20	Kootenai
BearCreek_20_061	Bear_20	Kootenai
BearCreek_20_067	Bear_20	Kootenai
BearCreek_20_068	Bear_20	Kootenai
BearCreek_20_069	Bear_20	Kootenai
BearCreek_20_071	Bear_20	Kootenai
BearCreek_20_072	Bear_20	Kootenai
BearCreek_20_077	Bear_20	Kootenai
BearCreek_20_081	Bear_20	Kootenai
BearCreek_20_085	Bear_20	Kootenai
BearCreek_20_087	Bear_20	Kootenai
BearCreek_20_090	Bear_20	Kootenai
BearCreek_20_093	Bear_20	Kootenai
BearCreek_20_094	Bear_20	Kootenai
BearCreek_20_097	Bear_20	Kootenai
BearUp_22_01	Up_Bear_22	Kootenai
BearUp_22_02	Up_Bear_22	Kootenai
BearUp_22_03	Up_Bear_22	Kootenai
BearUp_22_04	Up_Bear_22	Kootenai
BearUp_22_05	Up_Bear_22	Kootenai
BearUp_22_06	Up_Bear_22	Kootenai
BearUp_22_07	Up_Bear_22	Kootenai
BearUp_22_08	Up_Bear_22	Kootenai
BearUp_22_09	Up_Bear_22	Kootenai
BearUp_22_100	Up_Bear_22	Kootenai
BearUp_22_103	Up_Bear_22	Kootenai
BearUp_22_105	Up_Bear_22	Kootenai
BearUp_22_107	Up_Bear_22	Kootenai
BearUp_22_108	Up_Bear_22	Kootenai
BearUp_22_109	Up_Bear_22	Kootenai
BearUp_22_10	Up_Bear_22	Kootenai
BearUp_22_110	Up_Bear_22	Kootenai
BearUp_22_111	Up_Bear_22	Kootenai
BearUp_22_113	Up_Bear_22	Kootenai
BearUp_22_114	Up_Bear_22	Kootenai
BearUp_22_115	Up_Bear_22	Kootenai
BearUp_22_116	Up_Bear_22	Kootenai
BearUp_22_117	Up_Bear_22	Kootenai
BearUp_22_118	Up_Bear_22	Kootenai
BearUp_22_119	Up_Bear_22	Kootenai
BearUp_22_11	Up_Bear_22	Kootenai
BearUp_22_120	Up_Bear_22	Kootenai
BearUp_22_121	Up_Bear_22	Kootenai
BearUp_22_12	Up_Bear_22	Kootenai
BearUp_22_13	Up_Bear_22	Kootenai
BearUp_22_14	Up_Bear_22	Kootenai
BearUp_22_15	Up_Bear_22	Kootenai
BearUp_22_16	Up_Bear_22	Kootenai
BearUp_22_17	Up_Bear_22	Kootenai
BearUp_22_18	Up_Bear_22	Kootenai
BearUp_22_19	Up_Bear_22	Kootenai
BearUp_22_20	Up_Bear_22	Kootenai
BearUp_22_22	Up_Bear_22	Kootenai
BearUp_22_23	Up_Bear_22	Kootenai
BearUp_22_24	Up_Bear_22	Kootenai
BearUp_22_26	Up_Bear_22	Kootenai
BearUp_22_27	Up_Bear_22	Kootenai
BearUp_22_28	Up_Bear_22	Kootenai
BearUp_22_29	Up_Bear_22	Kootenai
BearUp_22_30	Up_Bear_22	Kootenai
BearUp_22_31	Up_Bear_22	Kootenai
BearUp_22_32	Up_Bear_22	Kootenai
BearUp_22_33	Up_Bear_22	Kootenai
BearUp_22_35	Up_Bear_22	Kootenai
BearUp_22_36	Up_Bear_22	Kootenai
BearUp_22_37	Up_Bear_22	Kootenai
BearUp_22_39	Up_Bear_22	Kootenai
BearUp_22_41	Up_Bear_22	Kootenai
BearUp_22_44	Up_Bear_22	Kootenai
BearUp_22_45	Up_Bear_22	Kootenai
BearUp_22_46	Up_Bear_22	Kootenai
BearUp_22_47	Up_Bear_22	Kootenai
BearUp_22_48	Up_Bear_22	Kootenai
BearUp_22_49	Up_Bear_22	Kootenai
BearUp_22_50	Up_Bear_22	Kootenai
BearUp_22_51	Up_Bear_22	Kootenai
BearUp_22_52	Up_Bear_22	Kootenai
BearUp_22_54	Up_Bear_22	Kootenai
BearUp_22_55	Up_Bear_22	Kootenai
BearUp_22_56	Up_Bear_22	Kootenai
BearUp_22_59	Up_Bear_22	Kootenai
BearUp_22_60	Up_Bear_22	Kootenai
BearUp_22_62	Up_Bear_22	Kootenai
BearUp_22_63	Up_Bear_22	Kootenai
BearUp_22_64	Up_Bear_22	Kootenai
BearUp_22_65	Up_Bear_22	Kootenai
BearUp_22_66	Up_Bear_22	Kootenai
BearUp_22_67	Up_Bear_22	Kootenai
BearUp_22_68	Up_Bear_22	Kootenai
BearUp_22_69	Up_Bear_22	Kootenai
BearUp_22_70	Up_Bear_22	Kootenai
BearUp_22_71	Up_Bear_22	Kootenai
BearUp_22_72	Up_Bear_22	Kootenai
BearUp_22_73	Up_Bear_22	Kootenai
BearUp_22_74	Up_Bear_22	Kootenai
BearUp_22_75	Up_Bear_22	Kootenai
BearUp_22_77	Up_Bear_22	Kootenai
BearUp_22_78	Up_Bear_22	Kootenai
BearUp_22_80	Up_Bear_22	Kootenai
BearUp_22_81	Up_Bear_22	Kootenai
BearUp_22_83	Up_Bear_22	Kootenai
BearUp_22_84	Up_Bear_22	Kootenai
BearUp_22_85	Up_Bear_22	Kootenai
BearUp_22_86	Up_Bear_22	Kootenai
BearUp_22_88	Up_Bear_22	Kootenai
BearUp_22_89	Up_Bear_22	Kootenai
BearUp_22_90	Up_Bear_22	Kootenai
BearUp_22_91	Up_Bear_22	Kootenai
BearUp_22_93	Up_Bear_22	Kootenai
BearUp_22_94	Up_Bear_22	Kootenai
BearUp_22_95	Up_Bear_22	Kootenai
BearUp_22_96	Up_Bear_22	Kootenai
BearUp_22_97	Up_Bear_22	Kootenai
BearUp_22_98	Up_Bear_22	Kootenai
BearUp_22_99	Up_Bear_22	Kootenai
Beetle_23_421	Beetle	WCT_Kootenai
Beetle_23_422	Beetle	WCT_Kootenai
Beetle_23_423	Beetle	WCT_Kootenai
Beetle_23_424	Beetle	WCT_Kootenai
Beetle_23_425	Beetle	WCT_Kootenai
Beetle_23_426	Beetle	WCT_Kootenai
Beetle_23_427	Beetle	WCT_Kootenai
Beetle_23_428	Beetle	WCT_Kootenai
Beetle_23_429	Beetle	WCT_Kootenai
Beetle_23_430	Beetle	WCT_Kootenai
Beetle_23_431	Beetle	WCT_Kootenai
Beetle_23_432	Beetle	WCT_Kootenai
Beetle_23_433	Beetle	WCT_Kootenai
Beetle_23_434	Beetle	WCT_Kootenai
Beetle_23_435	Beetle	WCT_Kootenai
Beetle_23_436	Beetle	WCT_Kootenai
Beetle_23_437	Beetle	WCT_Kootenai
Beetle_23_438	Beetle	WCT_Kootenai
Beetle_23_439	Beetle	WCT_Kootenai
Beetle_23_441	Beetle	WCT_Kootenai
Beetle_23_442	Beetle	WCT_Kootenai
Beetle_23_443	Beetle	WCT_Kootenai
Beetle_23_444	Beetle	WCT_Kootenai
Beetle_23_445	Beetle	WCT_Kootenai
Beetle_23_446	Beetle	WCT_Kootenai
Beetle_23_447	Beetle	WCT_Kootenai
Beetle_23_448	Beetle	WCT_Kootenai
Beetle_23_449	Beetle	WCT_Kootenai
Beetle_23_450	Beetle	WCT_Kootenai
Bram_17_17	Lo_Bramlet	Kootenai
BULL1_07_03	Lo_Bull_R	Up_Kootenai
BULL1_07_06	Lo_Bull_R	Up_Kootenai
BULL1_07_07	Lo_Bull_R	Up_Kootenai
BULL1_07_08	Lo_Bull_R	Up_Kootenai
BULL1_07_09	Lo_Bull_R	Up_Kootenai
BULL1_07_10	Lo_Bull_R	Up_Kootenai
BULL1_07_14	Lo_Bull_R	Up_Kootenai
BULL1_07_17	Lo_Bull_R	Up_Kootenai
BULL1_07_19	Lo_Bull_R	Up_Kootenai
BullLo_15_143	Lo_Bull_R	Up_Kootenai
BullLo_15_145	Lo_Bull_R	Up_Kootenai
BullLo_15_146	Lo_Bull_R	Up_Kootenai
BullLo_15_149	Lo_Bull_R	Up_Kootenai
BullLo_15_154	Lo_Bull_R	Up_Kootenai
BullLo_15_157	Lo_Bull_R	Up_Kootenai
BullLo_15_160	Lo_Bull_R	Up_Kootenai
BullLo_15_161	Lo_Bull_R	Up_Kootenai
BullLo_15_162	Lo_Bull_R	Up_Kootenai
BunkerHill_23_301	Bunker_Hill	WCT_Kootenai
BunkerHill_23_302	Bunker_Hill	WCT_Kootenai
BunkerHill_23_303	Bunker_Hill	WCT_Kootenai
BunkerHill_23_304	Bunker_Hill	WCT_Kootenai
BunkerHill_23_305	Bunker_Hill	WCT_Kootenai
BunkerHill_23_306	Bunker_Hill	WCT_Kootenai
BunkerHill_23_307	Bunker_Hill	WCT_Kootenai
BunkerHill_23_308	Bunker_Hill	WCT_Kootenai
BunkerHill_23_309	Bunker_Hill	WCT_Kootenai
BunkerHill_23_310	Bunker_Hill	WCT_Kootenai
BunkerHill_23_311	Bunker_Hill	WCT_Kootenai
BunkerHill_23_312	Bunker_Hill	WCT_Kootenai
BunkerHill_23_313	Bunker_Hill	WCT_Kootenai
BunkerHill_23_314	Bunker_Hill	WCT_Kootenai
BunkerHill_23_315	Bunker_Hill	WCT_Kootenai
BunkerHill_23_316	Bunker_Hill	WCT_Kootenai
BunkerHill_23_317	Bunker_Hill	WCT_Kootenai
BunkerHill_23_319	Bunker_Hill	WCT_Kootenai
BunkerHill_23_320	Bunker_Hill	WCT_Kootenai
BunkerHill_23_321	Bunker_Hill	WCT_Kootenai
BunkerHill_23_322	Bunker_Hill	WCT_Kootenai
Burnt_23_331	Burnt	WCT_Kootenai
Burnt_23_332	Burnt	WCT_Kootenai
Burnt_23_333	Burnt	WCT_Kootenai
Burnt_23_334	Burnt	WCT_Kootenai
Burnt_23_335	Burnt	WCT_Kootenai
Burnt_23_336	Burnt	WCT_Kootenai
Burnt_23_337	Burnt	WCT_Kootenai
Burnt_23_338	Burnt	WCT_Kootenai
Burnt_23_339	Burnt	WCT_Kootenai
Burnt_23_340	Burnt	WCT_Kootenai
Burnt_23_341	Burnt	WCT_Kootenai
Burnt_23_342	Burnt	WCT_Kootenai
Burnt_23_343	Burnt	WCT_Kootenai
Burnt_23_344	Burnt	WCT_Kootenai
Burnt_23_345	Burnt	WCT_Kootenai
Burnt_23_346	Burnt	WCT_Kootenai
Burnt_23_348	Burnt	WCT_Kootenai
Burnt_23_349	Burnt	WCT_Kootenai
Burnt_23_350	Burnt	WCT_Kootenai
Burnt_23_351	Burnt	WCT_Kootenai
Burnt_23_352	Burnt	WCT_Kootenai
Burnt_23_353	Burnt	WCT_Kootenai
Burnt_23_354	Burnt	WCT_Kootenai
Burnt_23_355	Burnt	WCT_Kootenai
Burnt_23_356	Burnt	WCT_Kootenai
Burnt_23_357	Burnt	WCT_Kootenai
Burnt_23_358	Burnt	WCT_Kootenai
Burnt_23_359	Burnt	WCT_Kootenai
Burnt_23_360	Burnt	WCT_Kootenai
Cable_17_422	Cable	Kootenai
Cable_17_436	Cable	Kootenai
Callahan17_063	Callahan	Kootenai
CallahanNF_22_02	NF_Callahan	Kootenai
CallahanNF_22_04	NF_Callahan	Kootenai
CallahanNF_22_06	NF_Callahan	Kootenai
CallahanNF_22_07	NF_Callahan	Kootenai
CallahanNF_22_08	NF_Callahan	Kootenai
CallahanNF_22_10	NF_Callahan	Kootenai
CallahanNF_22_12	NF_Callahan	Kootenai
CallahanNF_22_13	NF_Callahan	Kootenai
CallahanNF_22_14	NF_Callahan	Kootenai
CallahanNF_22_16	NF_Callahan	Kootenai
CallahanNF_22_17	NF_Callahan	Kootenai
CallahanNF_22_18	NF_Callahan	Kootenai
CallahanNF_22_19	NF_Callahan	Kootenai
CallahanNF_22_20	NF_Callahan	Kootenai
CallahanNF_22_21	NF_Callahan	Kootenai
CallahanNF_22_23	NF_Callahan	Kootenai
CallahanNF_22_25	NF_Callahan	Kootenai
CallahanNF_22_26	NF_Callahan	Kootenai
CallahanNF_22_27	NF_Callahan	Kootenai
CallahanNF_22_28	NF_Callahan	Kootenai
CallahanNF_22_29	NF_Callahan	Kootenai
CallahanSF_22_01	SF_Callahan	Kootenai
CallahanSF_22_02	SF_Callahan	Kootenai
CallahanSF_22_03	SF_Callahan	Kootenai
CallahanSF_22_04	SF_Callahan	Kootenai
CallahanSF_22_05	SF_Callahan	Kootenai
CallahanSF_22_06	SF_Callahan	Kootenai
CallahanSF_22_07	SF_Callahan	Kootenai
CallahanSF_22_08	SF_Callahan	Kootenai
CallahanSF_22_09	SF_Callahan	Kootenai
CallahanSF_22_10	SF_Callahan	Kootenai
CallahanSF_22_11	SF_Callahan	Kootenai
CallahanSF_22_12	SF_Callahan	Kootenai
CallahanSF_22_13	SF_Callahan	Kootenai
CallahanSF_22_14	SF_Callahan	Kootenai
CallahanSF_22_15	SF_Callahan	Kootenai
CallahanSF_22_16	SF_Callahan	Kootenai
CallahanSF_22_17	SF_Callahan	Kootenai
CallahanSF_22_18	SF_Callahan	Kootenai
CallahanSF_22_19	SF_Callahan	Kootenai
CallahanSF_22_20	SF_Callahan	Kootenai
CallahanSF_22_21	SF_Callahan	Kootenai
CallahanSF_22_23	SF_Callahan	Kootenai
CallahanSF_22_24	SF_Callahan	Kootenai
CallahanSF_22_25	SF_Callahan	Kootenai
CallahanSF_22_26	SF_Callahan	Kootenai
CallahanSF_22_27	SF_Callahan	Kootenai
CallahanSF_22_29	SF_Callahan	Kootenai
CallahanSF_22_30	SF_Callahan	Kootenai
CH_19_1130	Chowade_R	Athabasca
CHA41_22_03	Chapman	Athabasca
CHA41_22_08	Chapman	Athabasca
CHA41_22_09	Chapman	Athabasca
CHA41_22_10	Chapman	Athabasca
CO_18_0710	Colt	Athabasca
CO_19_1124	Colt	Athabasca
CR2	BC_IRT	BC_RBT
CR_NA_01	Chilako_R	Fraser_RBT
CR_NA_02	Chilako_R	Fraser_RBT
D107_14_05	Beaver	Athabasca
D107_14_06	Beaver	Athabasca
D107_14_07	Beaver	Athabasca
D107_14_08	Beaver	Athabasca
D107_14_09	Beaver	Athabasca
D107_14_11	Beaver	Athabasca
D107_14_16	Beaver	Athabasca
D107_14_17	Beaver	Athabasca
D107_14_18	Beaver	Athabasca
D107_14_19	Beaver	Athabasca
D107_14_21	Beaver	Athabasca
D107_14_22	Beaver	Athabasca
D107_14_24	Beaver	Athabasca
D126_14_02	Windfall	Athabasca
D126_14_04	Windfall	Athabasca
D126_14_09	Windfall	Athabasca
D129_14_01	Sakwatamau_R	Athabasca
D129_14_02	Sakwatamau_R	Athabasca
Dam_11_13	Libby_Dam	Kootenai_R
Dam_11_29	Libby_Dam	Kootenai_R
Deep_20_07	Deep	NF_Flathead
DocUWH06_22_03	Doctor	Athabasca
DocUWH06_22_05	Doctor	Athabasca
DocUWH06_22_06	Doctor	Athabasca
DocUWH10_22_36	Doctor	Athabasca
DocUWH10_22_37	Doctor	Athabasca
DocW84_12_01	Doctor	Athabasca
DocW84_12_02	Doctor	Athabasca
DocW84_12_03	Doctor	Athabasca
DocW84_12_04	Doctor	Athabasca
EC1_21_04	Edson_R	Athabasca
EC1_21_39	Edson_R	Athabasca
EC1_21_40	Edson_R	Athabasca
EC1_21_41	Edson_R	Athabasca
EC1_21_50	Edson_R	Athabasca
EC1_21_51	Edson_R	Athabasca
EC1_21_52	Edson_R	Athabasca
EC1_21_53	Edson_R	Athabasca
EC1_21_65	Edson_R	Athabasca
EC1_21_88	Edson_R	Athabasca
EC2_21_05	Edson_R	Athabasca
EC2_21_25	Edson_R	Athabasca
EC2_21_27	Edson_R	Athabasca
EC2_21_35	Edson_R	Athabasca
EForkYaak_20_001	EF_Yaak_20	Kootenai
EForkYaak_20_002	EF_Yaak_20	Kootenai
EForkYaak_20_004	EF_Yaak_20	Kootenai
EForkYaak_20_005	EF_Yaak_20	Kootenai
EForkYaak_20_006	EF_Yaak_20	Kootenai
EForkYaak_20_007	EF_Yaak_20	Kootenai
EForkYaak_20_010	EF_Yaak_20	Kootenai
EForkYaak_20_013	EF_Yaak_20	Kootenai
EForkYaak_20_014	EF_Yaak_20	Kootenai
EForkYaak_20_015	EF_Yaak_20	Kootenai
EForkYaak_20_016	EF_Yaak_20	Kootenai
EForkYaak_20_017	EF_Yaak_20	Kootenai
EForkYaak_20_018	EF_Yaak_20	Kootenai
EForkYaak_20_019	EF_Yaak_20	Kootenai
EForkYaak_20_021	EF_Yaak_20	Kootenai
EForkYaak_20_022	EF_Yaak_20	Kootenai
EForkYaak_20_027	EF_Yaak_20	Kootenai
EForkYaak_20_029	EF_Yaak_20	Kootenai
EForkYaak_20_030	EF_Yaak_20	Kootenai
EForkYaak_20_031	EF_Yaak_20	Kootenai
EForkYaak_20_032	EF_Yaak_20	Kootenai
EForkYaak_20_033	EF_Yaak_20	Kootenai
EForkYaak_20_035	EF_Yaak_20	Kootenai
EForkYaak_20_036	EF_Yaak_20	Kootenai
EForkYaak_20_037	EF_Yaak_20	Kootenai
EForkYaak_20_038	EF_Yaak_20	Kootenai
EForkYaak_20_039	EF_Yaak_20	Kootenai
EForkYaak_20_040	EF_Yaak_20	Kootenai
EForkYaak_20_041	EF_Yaak_20	Kootenai
EForkYaak_20_043	EF_Yaak_20	Kootenai
EForkYaak_20_045	EF_Yaak_20	Kootenai
EForkYaak_20_046	EF_Yaak_20	Kootenai
EForkYaak_20_047	EF_Yaak_20	Kootenai
EForkYaak_20_048	EF_Yaak_20	Kootenai
EForkYaak_20_049	EF_Yaak_20	Kootenai
EForkYaak_20_051	EF_Yaak_20	Kootenai
EForkYaak_20_052	EF_Yaak_20	Kootenai
EForkYaak_20_054	EF_Yaak_20	Kootenai
