Sample_ID	RBT_ELAI	WCT_ELAI	YCT_ELAI	# Heterokaryotypic Inversions
Bear_24_043	0.994082409	0.005917591	0	0
Bear_24_044	1	0	0	0
Bear_24_045	0.995851393	0.004148607	0.00E+00	0
Bear_24_046	0.997158362	0.002841638	0	0
Bear_24_047	0.999182167	0.000817833	0	0
Bear_24_048	0.997461792	0.002538208	0	0
Bear_24_049	0.994992722	0.005007278	0	0
Bear_24_050	0.997543288	0.002456712	0	0
Bear_24_051	0.996194932	0.003805068	0	0
Bear_24_052	0.995014615	0.004985385	0	0
Bear_24_053	0.996738016	0.003261984	0	0
Bear_24_054	0.992156028	0.007843972	0	0
Bear_24_055	0.988966659	0.011033341	0	0
Bear_24_056	0.99473032	0.00526968	0	0
Bear_24_057	0.996465782	0.003534218	0	0
Bear_24_058	0.996016664	0.003983336	0	0
Bear_24_059	0.99551666	0.00448334	0	0
Bear_24_060	0.99744242	0.00255758	0	0
Bear_24_061	0.997167829	0.002832171	0	0
Bear_24_062	0.994059272	0.005940728	0	0
Bear_24_063	0.996890316	0.003109684	0	0
Bear_24_064	0.998588893	0.001411107	0.00E+00	0
Bear_24_065	0.997060653	0.002939347	0	0
Bear_24_066	0.994439537	0.005560463	0	0
Bear_24_067	0.991869046	0.008130954	0	0
Bear_24_068	0.993203322	0.006796678	0	0
Bear_24_069	0.996449114	0.003550886	0	0
Bear_24_070	0.995613363	0.004386637	0	0
Bear_24_071	0.999429886	0.000570114	0	0
Bear_24_072	0.99613652	0.00386348	0	0
Bear_24_073	0.99312926	0.00687074	0	0
Bear_24_074	0.994253639	0.005746361	0	0
Bear_24_075	0.996473259	0.003526741	0	0
Bear_24_076	0.995150776	0.004849224	0	0
Bear_24_077	0.996666941	0.003333059	0	0
Bear_24_078	0.999036683	0.000963003	3.15E-07	0
Bear_24_079	0.998570166	0.001429834	0	0
Bear_24_080	0.998006586	0.001993414	0	0
Bear_24_081	0.997752279	0.002247721	0	0
Bear_24_082	0.997599136	0.002400864	0	0
Bear_24_083	0.996468903	0.003531097	0	0
Bear_24_084	0.996756562	0.003243438	0	0
Bear_24_086	0.994957064	0.005030319	1.26E-05	0
Bear_24_087	0.994541988	0.005458012	0	0
Bear_24_088	0.994498908	0.005501092	0	0
Bear_24_089	0.990781146	0.009218854	0	0
Bear_24_090	0.995779981	0.004220019	0	0
Bear_24_091	0.997844291	0.002155709	0	0
Bear_24_092	0.997125902	0.002874098	0	0
Bear_24_093	0.996456892	0.003543108	0	0
Bear_24_094	1	0	0	0
Bear_24_095	0.999822106	0.000177894	0	0
Bear_24_096	0.998400268	0.001599732	0.00E+00	0
Bear_24_097	0.998444108	0.001555892	0	0
Bear_24_098	0.994988738	0.005011262	0	0
Bear_24_100	1	0	0	0
Bear_24_101	0.998751694	0.001248306	0	0
Bear_24_102	0.998756317	0.001243683	0	0
Bear_24_105	0.991629768	0.008370232	0	0
BearCreek_20_001	0.996960034	0.003039966	0	0
BearCreek_20_002	0.997645615	0.002354385	0	0
BearCreek_20_003	0.994234531	0.005765469	0	0
BearCreek_20_004	0.99245063	0.00754937	0	0
BearCreek_20_006	0.994020732	0.005979268	0	0
BearCreek_20_007	0.994898786	0.005101214	0	0
BearCreek_20_008	0.995971778	0.004028222	0	0
BearCreek_20_009	0.994138819	0.005861181	0	0
BearCreek_20_010	0.984839001	0.015160999	0	0
BearCreek_20_011	0.995664264	0.004335736	0	0
BearCreek_20_012	0.994539688	0.005460312	0	0
BearCreek_20_013	0.989059332	0.010940668	0	0
BearCreek_20_014	0.994923071	0.005076929	0	0
BearCreek_20_015	0.992834973	0.007165027	0	0
BearCreek_20_016	0.994618736	0.005381264	0	0
BearCreek_20_017	0.994972935	0.005027065	0.00E+00	0
BearCreek_20_018	0.992974969	0.007025031	0	0
BearCreek_20_019	0.993768347	0.006231653	0	0
BearCreek_20_020	0.992517936	0.007482064	0	0
BearCreek_20_021	0.992472713	0.007527287	0	0
BearCreek_20_023	0.99594768	0.00405232	0.00E+00	0
BearCreek_20_024	0.994413771	0.005586229	0	0
BearCreek_20_025	0.998064454	0.001935546	0	0
BearCreek_20_026	0.996712472	0.003287528	0	0
BearCreek_20_027	0.992162398	0.007837602	0	0
BearCreek_20_028	0.987867521	0.012132479	0	0
BearCreek_20_029	0.99068688	0.00931312	0	0
BearCreek_20_030	0.994166343	0.005833657	0	0
BearCreek_20_031	0.99062198	0.00937802	0	0
BearCreek_20_032	0.995799393	0.004200502	1.06E-07	0
BearCreek_20_033	0.992916886	0.007083114	0	0
BearCreek_20_034	0.991456752	0.008543248	0	0
BearCreek_20_035	0.996300398	0.003699602	0	0
BearCreek_20_036	0.996700084	0.003299916	0	0
BearCreek_20_037	0.992642264	0.007357736	0	0
BearCreek_20_038	0.996575301	0.003424699	0	0
BearCreek_20_039	0.990375786	0.009624214	0	0
BearCreek_20_040	0.98948055	0.01051945	0	0
BearCreek_20_041	0.993294771	0.006705229	0	0
BearCreek_20_042	0.995497072	0.004502928	0	0
BearCreek_20_043	0.989791103	0.010208897	0	0
BearCreek_20_044	0.984242979	0.015757021	0	0
BearCreek_20_045	0.989643802	0.010356198	0	0
BearCreek_20_046	0.987280604	0.012719396	0	0
BearCreek_20_047	0.99413692	0.00586308	0	0
BearCreek_20_048	0.992043629	0.007956371	0	0
BearCreek_20_049	0.988297931	0.011702069	0	0
BearCreek_20_050	0.992988113	0.007011887	0	0
BearCreek_20_051	0.994326547	0.005673453	0	0
BearCreek_20_052	0.995962716	0.004037284	0	0
BearCreek_20_053	0.992836747	0.007163253	0	0
BearCreek_20_054	0.992960732	0.007039268	0	0
BearCreek_20_055	0.991232625	0.008767375	0	0
BearCreek_20_056	0.994844512	0.005155488	0	0
BearCreek_20_057	0.990512082	0.009487918	0	0
BearCreek_20_058	0.992576683	0.007423317	0	0
BearCreek_20_059	0.993142398	0.006857602	0	0
BearCreek_20_060	0.985940952	0.014059048	0	0
BearCreek_20_061	0.996512756	0.003487244	0	0
BearCreek_20_062	0.996690963	0.003309037	0	0
BearCreek_20_063	0.99396414	0.00603586	0	0
BearCreek_20_064	0.989174481	0.010825519	0	0
BearCreek_20_065	0.988265973	0.011734027	0	0
BearCreek_20_066	0.990056172	0.009943828	0	0
BearCreek_20_067	0.994303945	0.005696055	0	0
BearCreek_20_068	0.99500915	0.00499085	0	0
BearCreek_20_069	0.996583089	0.003416911	0	0
BearCreek_20_070	0.969226759	0.030773241	0	1
BearCreek_20_071	0.99618368	0.00381632	0	0
BearCreek_20_072	0.996169322	0.003830678	0	0
BearCreek_20_073	0.992421973	0.007578027	0	0
BearCreek_20_074	0.99012807	0.00987193	0	0
BearCreek_20_075	0.991062863	0.008937137	0	0
BearCreek_20_076	0.992875336	0.007124664	0	0
BearCreek_20_077	0.996667833	0.003332167	0	0
BearCreek_20_078	0.994751131	0.005248869	0	0
BearCreek_20_079	0.995616264	0.004383736	0	0
BearCreek_20_080	0.988218746	0.011781254	0	0
BearCreek_20_081	0.996524918	0.003475082	0	0
BearCreek_20_082	0.99535732	0.00464268	0	0
BearCreek_20_083	0.993977455	0.006022545	0	0
BearCreek_20_084	0.98798642	0.01201358	0	0
BearCreek_20_085	0.995611151	0.004388849	0	0
BearCreek_20_087	0.996520806	0.003479194	0	0
BearCreek_20_089	0.992708355	0.007291645	0	0
BearCreek_20_090	0.996574594	0.003425406	0	0
BearCreek_20_091	0.983118635	0.016881365	0	0
BearCreek_20_092	0.987271392	0.012728608	0	0
BearCreek_20_093	0.997146256	0.002845808	7.94E-06	0
BearCreek_20_094	0.997994135	0.002005865	0	0
BearCreek_20_095	0.98528837	0.01471163	0	0
BearCreek_20_096	0.993765101	0.006234899	0	0
BearCreek_20_097	0.995694785	0.004305215	0	0
BearCreek_20_098	0.986707248	0.013292752	0	0
BearCreek_20_099	0.988398995	0.011601005	0	0
BearCreek_20_100	0.99069176	0.00930824	0	0
BearUp_22_01	0.997872247	0.002127753	0	0
BearUp_22_02	0.998177287	0.001822713	0	0
BearUp_22_03	0.995032503	0.004967497	0	0
BearUp_22_04	0.99764402	0.00235598	0	0
BearUp_22_05	0.996853756	0.003146244	0	0
BearUp_22_06	0.995413509	0.004586491	0	0
BearUp_22_07	0.999200929	0.000798025	1.05E-06	0
BearUp_22_08	0.992771778	0.007228222	0	0
BearUp_22_09	0.999509509	0.000490491	0	0
BearUp_22_10	0.99303213	0.00696787	0	0
BearUp_22_100	0.994442372	0.005557628	0	0
BearUp_22_101	0.995137752	0.004862248	0	0
BearUp_22_103	0.995476289	0.004523711	0	0
BearUp_22_105	0.996316189	0.003683811	0	0
BearUp_22_106	0.991377507	0.008622493	0	0
BearUp_22_107	0.992792322	0.007207678	0	0
BearUp_22_108	0.996709658	0.003290342	0	0
BearUp_22_109	0.998086563	0.001913437	0	0
BearUp_22_11	0.996426419	0.003573581	0	0
BearUp_22_110	0.995770391	0.004229609	0	0
BearUp_22_111	0.997842027	0.002157973	0	0
BearUp_22_112	0.991633873	0.008366127	0	0
BearUp_22_113	0.995720314	0.004279686	0	0
BearUp_22_114	0.99642896	0.00357104	0	0
BearUp_22_115	0.996873609	0.003126391	0	0
BearUp_22_116	0.994991798	0.005008202	0	0
BearUp_22_117	0.994327975	0.005672025	0	0
BearUp_22_118	0.998627548	0.001372452	0	0
BearUp_22_119	0.994025277	0.005974723	0	0
BearUp_22_12	0.995382758	0.004617242	0	0
BearUp_22_120	1	0	0	0
BearUp_22_121	0.996632827	0.003367173	0	0
BearUp_22_13	0.995675775	0.004324225	0	0
BearUp_22_14	0.997610722	0.002389278	0	0
BearUp_22_15	0.999148991	0.000851009	0	0
BearUp_22_16	0.996984277	0.003015723	0	0
BearUp_22_17	0.997474219	0.002525781	0	0
BearUp_22_18	0.99426053	0.00573947	0	0
BearUp_22_19	0.997985267	0.002014733	0	0
