sample_id	population	group
CedarCreek_20_056	Cedar	Kootenai
CedarCreek_20_058	Cedar	Kootenai
CedarCreek_20_059	Cedar	Kootenai
CedarCreek_20_060	Cedar	Kootenai
CedarCreek_20_062	Cedar	Kootenai
CedarCreek_20_063	Cedar	Kootenai
CedarCreek_20_064	Cedar	Kootenai
CedarCreek_20_067	Cedar	Kootenai
CedarCreek_20_069	Cedar	Kootenai
CedarCreek_20_071	Cedar	Kootenai
CedarCreek_20_073	Cedar	Kootenai
CedarCreek_20_074	Cedar	Kootenai
CedarCreek_20_075	Cedar	Kootenai
CedarCreek_20_076	Cedar	Kootenai
CedarCreek_20_077	Cedar	Kootenai
CedarCreek_20_078	Cedar	Kootenai
CedarCreek_20_080	Cedar	Kootenai
CedarCreek_20_082	Cedar	Kootenai
CedarCreek_20_083	Cedar	Kootenai
CedarCreek_20_085	Cedar	Kootenai
CedarCreek_20_086	Cedar	Kootenai
CedarCreek_20_088	Cedar	Kootenai
CedarCreek_20_089	Cedar	Kootenai
CedarCreek_20_090	Cedar	Kootenai
CFE_20_15	Flathead_R	Flathead
CFE_20_27	Flathead_R	Flathead
CodyMid_21_01	Mid_Cody_Lk	Kootenai
CodyMid_21_02	Mid_Cody_Lk	Kootenai
CodyMid_21_03	Mid_Cody_Lk	Kootenai
CodyMid_21_05	Mid_Cody_Lk	Kootenai
CodyMid_21_07	Mid_Cody_Lk	Kootenai
CodyMid_21_08	Mid_Cody_Lk	Kootenai
CodyMid_21_09	Mid_Cody_Lk	Kootenai
CodyMid_21_10	Mid_Cody_Lk	Kootenai
CodyMid_21_11	Mid_Cody_Lk	Kootenai
Dam_11_05	Libby_Dam	Kootenai_R
Dam_11_06	Libby_Dam	Kootenai_R
Dam_11_07	Libby_Dam	Kootenai_R
Dam_11_09	Libby_Dam	Kootenai_R
Dam_11_11	Libby_Dam	Kootenai_R
Dam_11_12	Libby_Dam	Kootenai_R
Dam_11_13	Libby_Dam	Kootenai_R
Dam_11_15	Libby_Dam	Kootenai_R
Dam_11_19	Libby_Dam	Kootenai_R
Dam_11_20	Libby_Dam	Kootenai_R
Dam_11_22	Libby_Dam	Kootenai_R
Dam_11_23	Libby_Dam	Kootenai_R
Dam_11_24	Libby_Dam	Kootenai_R
Dam_11_25	Libby_Dam	Kootenai_R
Dam_11_27	Libby_Dam	Kootenai_R
Dam_11_29	Libby_Dam	Kootenai_R
Dunn_11_003	Lo_Dunn	Kootenai
Dunn_11_004	Lo_Dunn	Kootenai
Dunn_11_006	Lo_Dunn	Kootenai
Dunn_11_009	Lo_Dunn	Kootenai
Dunn_11_011	Lo_Dunn	Kootenai
Dunn_11_012	Lo_Dunn	Kootenai
Dunn_11_016	Lo_Dunn	Kootenai
Dunn_11_022	Up_Dunn	Kootenai
Dunn_11_025	Up_Dunn	Kootenai
Dunn_11_026	Up_Dunn	Kootenai
Dunn_11_030	Up_Dunn	Kootenai
ELD_21_01	Eagle_Lake	Hatchery_CRT
ELD_21_02	Eagle_Lake	Hatchery_CRT
ELD_21_03	Eagle_Lake	Hatchery_CRT
ELD_21_04	Eagle_Lake	Hatchery_CRT
ELD_21_05	Eagle_Lake	Hatchery_CRT
ELD_21_06	Eagle_Lake	Hatchery_CRT
ELD_21_07	Eagle_Lake	Hatchery_CRT
ELD_21_08	Eagle_Lake	Hatchery_CRT
ELD_21_10	Eagle_Lake	Hatchery_CRT
ELD_21_12	Eagle_Lake	Hatchery_CRT
ELD_21_13	Eagle_Lake	Hatchery_CRT
ELD_21_14	Eagle_Lake	Hatchery_CRT
ELD_21_15	Eagle_Lake	Hatchery_CRT
ELD_21_16	Eagle_Lake	Hatchery_CRT
ELD_21_17	Eagle_Lake	Hatchery_CRT
ELD_21_18	Eagle_Lake	Hatchery_CRT
ELD_21_19	Eagle_Lake	Hatchery_CRT
ELD_21_20	Eagle_Lake	Hatchery_CRT
ELD_21_21	Eagle_Lake	Hatchery_CRT
ELD_21_22	Eagle_Lake	Hatchery_CRT
ELD_21_23	Eagle_Lake	Hatchery_CRT
ELD_21_24	Eagle_Lake	Hatchery_CRT
ELD_21_26	Eagle_Lake	Hatchery_CRT
ELD_21_27	Eagle_Lake	Hatchery_CRT
ELD_21_28	Eagle_Lake	Hatchery_CRT
ELD_21_29	Eagle_Lake	Hatchery_CRT
ELD_21_30	Eagle_Lake	Hatchery_CRT
FisherBW_11_138	Fisher_Wolf	Kootenai
FisherBW_11_149	Fisher_Wolf	Kootenai
FisherBW_11_150	Fisher_Wolf	Kootenai
FisherBW_11_153	Fisher_Wolf	Kootenai
FisherBW_11_154	Fisher_Wolf	Kootenai
FisherBW_11_158	Fisher_Wolf	Kootenai
FisherSilver_11_116	Fisher_Silver_Butte	Kootenai
FlowerPipe_11_09	Flower_Pipe	Kootenai
FlowerPipe_11_14	Flower_Pipe	Kootenai
FlowerPipe_11_19	Flower_Pipe	Kootenai
GC1_23_02	Gold	WCT_Blackfoot
GC1_23_03	Gold	WCT_Blackfoot
GC1_23_04	Gold	WCT_Blackfoot
GC1_23_05	Gold	WCT_Blackfoot
GSH_22_02	Eagle_Lake	Hatchery_CRT
GSH_22_03	Eagle_Lake	Hatchery_CRT
GSH_22_05	Eagle_Lake	Hatchery_CRT
GSH_22_06	Eagle_Lake	Hatchery_CRT
GSH_22_07	Eagle_Lake	Hatchery_CRT
GSH_22_08	Eagle_Lake	Hatchery_CRT
GSH_22_09	Eagle_Lake	Hatchery_CRT
GSH_22_10	Eagle_Lake	Hatchery_CRT
GSH_22_11	Eagle_Lake	Hatchery_CRT
GSH_22_12	Eagle_Lake	Hatchery_CRT
GSH_22_13	Eagle_Lake	Hatchery_CRT
GSH_22_14	Eagle_Lake	Hatchery_CRT
GSH_22_15	Eagle_Lake	Hatchery_CRT
GSH_22_16	Eagle_Lake	Hatchery_CRT
GSH_22_17	Eagle_Lake	Hatchery_CRT
GSH_22_18	Eagle_Lake	Hatchery_CRT
GSH_22_19	Eagle_Lake	Hatchery_CRT
GSH_22_20	Eagle_Lake	Hatchery_CRT
GSH_22_22	Eagle_Lake	Hatchery_CRT
GSH_22_24	Eagle_Lake	Hatchery_CRT
GSH_22_25	Eagle_Lake	Hatchery_CRT
GSH_22_26	Eagle_Lake	Hatchery_CRT
GSH_22_27	Eagle_Lake	Hatchery_CRT
GSH_22_28	Eagle_Lake	Hatchery_CRT
GSH_22_29	Eagle_Lake	Hatchery_CRT
GSH_22_30	Eagle_Lake	Hatchery_CRT
GSH_22_32	Eagle_Lake	Hatchery_CRT
GSH_22_33	Eagle_Lake	Hatchery_CRT
GSH_22_34	Eagle_Lake	Hatchery_CRT
GSH_22_35	Eagle_Lake	Hatchery_CRT
Howard_22_01	Howard_Lk	Kootenai
Howard_22_02	Howard_Lk	Kootenai
Howard_22_03	Howard_Lk	Kootenai
Howard_22_04	Howard_Lk	Kootenai
Howard_22_05	Howard_Lk	Kootenai
Howard_22_06	Howard_Lk	Kootenai
Howard_22_07	Howard_Lk	Kootenai
Howard_22_08	Howard_Lk	Kootenai
Howard_22_10	Howard_Lk	Kootenai
Howard_22_11	Howard_Lk	Kootenai
Howard_22_13	Howard_Lk	Kootenai
Howard_22_14	Howard_Lk	Kootenai
Howard_22_16	Howard_Lk	Kootenai
Howard_22_18	Howard_Lk	Kootenai
Howard_22_19	Howard_Lk	Kootenai
KootRiv_15_01	Kootenai_R	Kootenai_R
KootRiv_15_08	Kootenai_R	Kootenai_R
KootRiv_15_27	Kootenai_R	Kootenai_R
KootRiv_15_29	Kootenai_R	Kootenai_R
KootRiv_15_38	Kootenai_R	Kootenai_R
KootRiv_16_04	Kootenai_R	Kootenai_R
KootRiv_16_13	Kootenai_R	Kootenai_R
KootRiv_16_14	Kootenai_R	Kootenai_R
KootRiv_16_18	Kootenai_R	Kootenai_R
KootRiv_16_25	Kootenai_R	Kootenai_R
KootRiv_17_02	Kootenai_R	Kootenai_R
KRBY_22_03	Kootenai_R_BYF	Kootenai_R
KRBY_22_07	Kootenai_R_BYF	Kootenai_R
LibbyBBC_11_322	Lo_Libby	Kootenai
LibbyBBC_11_325	Lo_Libby	Kootenai
LibbyBBC_11_331	Lo_Libby	Kootenai
LibbyBBC_11_333	Lo_Libby	Kootenai
LibbyBBC_11_343	Lo_Libby	Kootenai
LibbyBBC_11_346	Lo_Libby	Kootenai
LowerCedarLk_20_001	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_003	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_004	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_005	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_006	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_007	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_008	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_010	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_011	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_012	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_013	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_014	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_015	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_016	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_017	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_018	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_019	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_020	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_021	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_022	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_023	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_024	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_025	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_026	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_027	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_028	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_029	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_031	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_032	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_033	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_034	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_035	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_036	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_037	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_038	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_039	Lo_Cedar_Lk	Kootenai
LowerCedarLk_20_040	Lo_Cedar_Lk	Kootenai
ParmenterCr_20_006	Lo_Parmenter	Kootenai
ParmenterCr_20_008	Lo_Parmenter	Kootenai
ParmenterCr_20_009	Lo_Parmenter	Kootenai
ParmenterCr_20_017	Lo_Parmenter	Kootenai
Quartz_10_141	Lo_Quartz	Kootenai
Quartz_10_142	Lo_Quartz	Kootenai
Quartz_10_144	Lo_Quartz	Kootenai
Quartz_10_148	Lo_Quartz	Kootenai
RBT10	RBT	Hatchery_CRT
RBT37	RBT	Hatchery_CRT
RBT46	RBT	Hatchery_CRT
RC_19_017	Rock_Cr	Rock_Cr
RC_19_034	Rock_Cr	Rock_Cr
RC_19_040	Rock_Cr	Rock_Cr
RC_19_051	Rock_Cr	Rock_Cr
RC_19_099	Rock_Cr	Rock_Cr
RCF_19_05	Rock_Cr	Rock_Cr
RCF_19_12	Rock_Cr	Rock_Cr
RCF_19_17	Rock_Cr	Rock_Cr
SFishL_21_01	S_Fish_L	Kootenai
SFishL_21_03	S_Fish_L	Kootenai
SFishL_21_04	S_Fish_L	Kootenai
SFishL_21_05	S_Fish_L	Kootenai
SFishL_21_07	S_Fish_L	Kootenai
SFishL_21_08	S_Fish_L	Kootenai
SFishL_21_09	S_Fish_L	Kootenai
SFishL_21_10	S_Fish_L	Kootenai
SFishL_21_11	S_Fish_L	Kootenai
SFishL_21_14	S_Fish_L	Kootenai
SFishL_21_15	S_Fish_L	Kootenai
SFishL_21_17	S_Fish_L	Kootenai
SFishL_21_19	S_Fish_L	Kootenai
SFishL_21_20	S_Fish_L	Kootenai
SFishL_21_22	S_Fish_L	Kootenai
SFishL_21_24	S_Fish_L	Kootenai
SFishL_21_25	S_Fish_L	Kootenai
SFishL_21_26	S_Fish_L	Kootenai
SLFH_24_01	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_02	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_05	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_06	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_07	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_08	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_09	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_10	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_11	Sam_Livingston_FH	Alberta_Hatch
SLFH_24_12	Sam_Livingston_FH	Alberta_Hatch
