Sample_ID	norm_pCRT	norm_pIRT	norm_pWCT	norm_pYCT
Abbot_20_01	0.892288486811257	0.101311140567616	0.0050316691256361	0.00136870349549104
Abbot_20_03	0.894749680135326	0.101008941429588	0.00353985551698671	0.000701522918098925
Abbot_20_26	0.9179100178222	0.078120001405183	0.00205145606413691	0.00191852470848029
AdamsBR3_17_01	0	0.997947846714412	0.00205215328558836	0
AdamsBR3_17_02	0	0.998012573956859	0.00178277063797161	0.000204655405169709
AdamsBR3_17_03	0	0.997513293494788	0.00241823279222778	6.84737129838535e-05
AdamsBR3_17_07	0	0.998949739934945	0.000895691880311517	0.000154568184743335
AdamsBR3_17_09	0	0.997490816133442	0.00230615883401526	0.000203025032542447
AdamsBR3_17_11	0	0.998088154389909	0.00184156905211089	7.02765579804202e-05
AdamsBR3_17_12	0	0.997105806133242	0.00248759807466114	0.00040659579209703
AdamsBR3_17_13	0	0.998325923337659	0.00160146794010983	7.26087222316361e-05
AdamsBR3_17_15	0	0.997552230221783	0.00231200385016804	0.000135765928049407
AdamsBR3_17_19	0	0.998511156095514	0.00142111944893965	6.77244555468293e-05
AdamsBR3_17_20	0	0.997185133011415	0.00281486698858496	0
AdamsBR3_17_22	0	0.996361773149396	0.00363822685060402	0
AdamsBR3_17_24	0	0.998445668419337	0.00141899559848151	0.000135335982181776
AdamsBR3_17_25	0	0.997484919717831	0.00231202316943711	0.000203057112731857
AdamsBR3_17_28	0	0.998154908264612	0.00177740401176263	6.76877236256885e-05
ARD_20_01	0.988939982269269	0.00915685143128657	0.000787254518034269	0.00111591178141032
ARD_20_02	0.997549756271311	0	0.00111583115885187	0.00133441256983687
ARD_20_03	0.997858615739382	0	0.000386752229624133	0.00175463203099412
ARD_20_05	0.998017793863292	0	0.000649745702971421	0.00133246043373706
ARD_20_06	0.998991288289324	0	0.000331377876678907	0.000677333833996549
ARD_20_07	0.998431194261772	0	0.000652767930721725	0.000916037807506567
ARD_20_10	0.997402293966399	0	0.0011193676591924	0.00147833837440831
ARD_20_11	0.997962753780911	0	0.00103582581420925	0.00100142040487977
ARD_20_12	0.997223608004944	0	0.00122050279340742	0.00155588920164853
