Sample_ID	pCRT	pIRT	pRBT	pWCT	pYCT
Bear_24_037_1	0	1	0.995429089	0.009207438	0
Bear_24_037	0	1	0.995197352	0.009484134	0
Bear_24_038_1	0	1	0.999235799	0.000186185	7.21709E-05
Bear_24_038	0	1	0.999252119	0.000274323	0
Bear_24_039	0	1	0.998305495	0.002923977	0
Bear_24_040	0	1	0.999021367	0.000982494	0
Bear_24_041	0	1	0.998495109	0.001342143	0.000162364
Bear_24_042	0	1	0.998916381	0.002575277	0
Bear_24_043	0	0.987179487	0.996483826	0.00695448	0
Bear_24_044	0	1	0.999915096	9.30406E-05	0
Bear_24_045	0	0.995762712	0.998224231	0.00336581	0
Bear_24_046	0	1	0.99904485	0.001910133	0
Bear_24_047	0	1	0.999192115	0.000974832	0
Bear_24_048	0	1	0.998907563	0.002015021	7.13063E-05
Bear_24_049	0	1	0.998180642	0.002752131	0
Bear_24_050	0	1	0.998053054	0.003823582	0
Bear_24_051	0	0.995762712	0.997319253	0.004088889	0
Bear_24_052	0	1	0.996399968	0.00533049	0
Bear_24_053	0	1	0.998587229	0.002751642	0
Bear_24_054	0	0.987288136	0.993422121	0.007498661	0
Bear_24_055	0	1	0.992478162	0.011355571	0
Bear_24_056	0	0.995689655	0.995951758	0.004607446	7.1541E-05
Bear_24_057	0	1	0.995559861	0.003986534	0
Bear_24_058	0	1	0.996042102	0.002562156	0
Bear_24_059	0	1	0.999392368	0.001422981	0
Bear_24_060	0	1	0.998708949	0.002126528	0
Bear_24_061	0	1	0.999335603	0.00236149	0
Bear_24_062	0	1	0.998544043	0.003371783	0
Bear_24_063	0	1	0.999061578	0.001271767	0
Bear_24_064	0	1	0.999134699	0.000635863	0
Bear_24_065	0	0.995762712	0.998507583	0.002395741	0
Bear_24_066	0	1	0.996735988	0.004744224	0
Bear_24_067	0	1	0.993901454	0.006384111	0
Bear_24_068	0	1	0.99402503	0.006297676	0
Bear_24_069	0	1	0.998950258	0.000975004	0
Bear_24_070	0	0.995726496	0.996155105	0.004304161	6.88137E-05
Bear_24_071	0	1	0.99955595	0.000620567	0
Bear_24_072	0	0.995689655	0.997811545	0.003709065	0
Bear_24_073	0	1	0.994708781	0.006475075	0
Bear_24_074	0	1	0.996952492	0.003475398	0
Bear_24_075	0	1	0.999185601	0.002053938	0
Bear_24_076	0	1	0.998102237	0.004253057	0
Bear_24_077	0	0.995762712	0.998789932	0.002659574	6.76224E-05
Bear_24_078	0	0.995762712	0.999149729	0.001867331	6.78426E-05
Bear_24_079	0	1	0.999756375	0.000802711	0
Bear_24_080	0	1	0.999552117	0.000713267	0
Bear_24_081	0	1	0.999014131	0.001621914	0
Bear_24_082	0	1	0.998708532	0.001596311	0
Bear_24_083	0	1	0.999522652	0.000850822	0
Bear_24_084	0	1	0.998005048	0.00375134	0
Bear_24_086	0	1	0.998061389	0.002303739	0
Bear_24_087	0	1	0.996124031	0.004876751	0
Bear_24_088	0	1	0.994910325	0.00540876	0
Bear_24_089	0	0.995726496	0.99370915	0.008680866	0
Bear_24_090	0	0.995762712	0.998385404	0.003458673	0
Bear_24_091	0	0.995535714	0.997907188	0.002401922	0
Bear_24_092	0	1	0.998498011	0.001869991	0
Bear_24_093	0	1	0.996449036	0.00337358	0
Bear_24_094	0	1	0.999637243	0.000620567	0
Bear_24_095	0	1	0.999607021	0.0004804	0
Bear_24_096	0	1	0.999057918	0.00089815	0
Bear_24_097	0	1	0.999273256	0.000620347	0
Bear_24_098	0	0.991525424	0.99643667	0.005342832	0
Bear_24_100	0	1	0.999633042	0.000179533	0
Bear_24_101	0	0.995575221	0.999278434	0.000882007	0
Bear_24_102	0	1	0.999228395	0.001069519	0
Bear_24_105	0	0.987288136	0.991817224	0.008545487	0
BearCreek_20_001	0.029411765	0.969026549	0.997800049	0.002944851	0.000136612
BearCreek_20_002	0.009803922	0.978813559	0.999071607	0.001864678	0.00013541
BearCreek_20_003	0.019607843	0.957264957	0.995224219	0.003910416	0.000271186
BearCreek_20_004	0.125	0.946601942	0.994433063	0.00602761	0.000224786
BearCreek_20_006	0.02	0.991304348	0.996510846	0.006104329	7.08717E-05
BearCreek_20_007	0.02	0.959090909	0.996636311	0.004329785	6.89845E-05
BearCreek_20_008	0.009803922	0.982608696	0.997667833	0.002749771	7.01262E-05
BearCreek_20_009	0.02	0.985981308	0.995986185	0.00286123	0.000156128
BearCreek_20_010	0.040816327	0.978813559	0.987462761	0.014397667	6.8956E-05
BearCreek_20_011	0.009803922	0.986842105	0.995528455	0.003833809	0.000136333
BearCreek_20_012	0.081632653	0.939130435	0.995638705	0.005561536	0
BearCreek_20_013	0.083333333	0.901869159	0.99137931	0.009162054	0.000146649
BearCreek_20_014	0.06	0.961864407	0.995912027	0.00259624	0.000136743
BearCreek_20_015	0.173913043	0.92920354	0.993674006	0.006329114	0
BearCreek_20_016	0.039215686	0.969026549	0.994629614	0.004210329	7.13776E-05
BearCreek_20_017	0.073170732	0.985849057	0.995935344	0.003827058	0
BearCreek_20_018	0.078431373	0.974137931	0.992764753	0.008343689	0.000270416
BearCreek_20_019	0.068627451	0.933628319	0.994364923	0.006614715	0.000138274
BearCreek_20_020	0.05	0.91025641	0.994627131	0.005403969	0
BearCreek_20_021	0.068627451	0.956521739	0.993078044	0.004969826	0.000203142
BearCreek_20_023	0	0.973684211	0.996858985	0.002808989	0.000138812
BearCreek_20_024	0.01	0.965	0.995602502	0.005279936	7.61963E-05
BearCreek_20_025	0.098039216	0.948717949	0.99817799	0.004000711	6.8018E-05
BearCreek_20_026	0.088235294	0.943965517	0.996767416	0.003995738	0.000135281
BearCreek_20_027	0.088235294	0.914529915	0.991857073	0.009074733	0.000339075
BearCreek_20_028	0.078431373	0.947368421	0.98900477	0.009861407	0.000135099
BearCreek_20_029	0.13	0.935344828	0.990647365	0.009381701	0.000204443
