"Axis1","Axis2","Axis3","sample_id","population","group"
-40.5796886789269,-98.4541068150636,20.1084779592273,"Abbot_20_01","Abbot","Flathead"
-45.0830523288334,-107.222113638483,23.6485976609207,"Abbot_20_03","Abbot","Flathead"
-42.6161713109904,-109.78602017729,24.8657435660241,"Abbot_20_26","Abbot","Flathead"
-81.5423199817382,4.45099066011644,-58.3346718392086,"AdamsBR3_17_01","Adams","Athabasca"
-85.8245696943681,3.89052059276927,-61.9418878169441,"AdamsBR3_17_02","Adams","Athabasca"
-84.8719026963242,4.15096873572017,-61.0199253123489,"AdamsBR3_17_03","Adams","Athabasca"
-77.5900331497084,5.31863473847665,-55.2454609888123,"AdamsBR3_17_07","Adams","Athabasca"
-84.8791199023006,3.31591123159843,-62.0133965416502,"AdamsBR3_17_09","Adams","Athabasca"
-83.4341589569831,3.55237139983367,-59.5171325926982,"AdamsBR3_17_11","Adams","Athabasca"
-85.6116940143926,4.52984002036972,-61.3086871130536,"AdamsBR3_17_12","Adams","Athabasca"
-82.0571637476652,4.04848884361578,-58.7127303902607,"AdamsBR3_17_13","Adams","Athabasca"
-85.6733374156338,3.46499662323945,-61.9934320939824,"AdamsBR3_17_15","Adams","Athabasca"
-85.8179064362872,2.93683032487604,-62.4803445527678,"AdamsBR3_17_19","Adams","Athabasca"
-81.4923519274486,4.92974174691592,-58.1304667639076,"AdamsBR3_17_20","Adams","Athabasca"
-85.9240969459557,3.9740510811281,-61.8448946530103,"AdamsBR3_17_22","Adams","Athabasca"
-85.8879395609135,3.28593667594218,-62.1902785522436,"AdamsBR3_17_24","Adams","Athabasca"
-85.2418250265816,4.17879225417552,-62.016825142851,"AdamsBR3_17_25","Adams","Athabasca"
-86.659105206143,3.8188564220024,-59.280440781379,"AdamsBR3_17_28","Adams","Athabasca"
-44.0775619678924,-132.401225663062,32.0879647286044,"ARD_20_01","Arlee","Hatchery_CRT"
-44.507518482759,-141.531366102014,34.0618917011669,"ARD_20_02","Arlee","Hatchery_CRT"
-46.1662350919571,-130.508327443032,29.8540387288823,"ARD_20_03","Arlee","Hatchery_CRT"
-44.663215964904,-144.759565386755,34.6864011263198,"ARD_20_05","Arlee","Hatchery_CRT"
-38.974657093559,-118.29976940933,28.4241453720007,"ARD_20_06","Arlee","Hatchery_CRT"
-46.2688101786277,-139.325967387894,33.6068272678765,"ARD_20_07","Arlee","Hatchery_CRT"
-45.0160501641838,-140.10129276683,33.8225442617815,"ARD_20_10","Arlee","Hatchery_CRT"
