Baree_17_121
Baree_17_122	0.0000	0.0000	0.0000	0.9587	0.0413	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_123	0.0206	0.0000	0.0206	0.9716	0.0078	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_124	0.0168	0.0000	0.0168	0.9405	0.0427	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	0.50	0.50	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.50
Baree_17_125	0.0236	0.0051	0.0287	0.9373	0.0340	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_126	0.0000	0.0000	0.0000	0.9990	0.0010	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_128	0.0000	0.0000	0.0000	0.9856	0.0144	NA	0.00	0.99	0.01	0.00	1.00	0.00	0.00	0.99	0.01	NA	NA	0.00	0.50	0.50	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_129	0.0000	0.0000	0.0000	0.9981	0.0019	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_130	0.0000	0.0159	0.0159	0.9598	0.0243	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	0.50	0.50	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_131	0.0280	0.0041	0.0321	0.9499	0.0180	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_132	0.0229	0.0000	0.0229	0.9501	0.0270	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_133	0.0000	0.0000	0.0000	0.9867	0.0133	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.92	0.08	0.00	1.00	0.00	0.00
Baree_17_134	0.0000	0.0000	0.0000	0.9891	0.0109	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_135	0.0000	0.0000	0.0000	0.9993	0.0007	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_136	0.0000	0.0000	0.0000	0.9914	0.0086	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_137	0.0000	0.0000	0.0000	0.9924	0.0076	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_138	0.0473	0.0077	0.0550	0.9265	0.0185	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.48	0.50	0.02	0.00
Baree_17_139	0.0107	0.0000	0.0107	0.9613	0.0280	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.93	0.07	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_140	0.0000	0.0000	0.0000	1.0000	0.0000	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_141	0.0287	0.0000	0.0287	0.9441	0.0271	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.50	0.49	0.01	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_142	0.0000	0.0157	0.0157	0.9795	0.0048	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_143	0.0000	0.0000	0.0000	0.9945	0.0055	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_144	0.0000	0.0000	0.0000	0.9836	0.0164	NA	0.00	0.95	0.05	0.00	1.00	0.00	0.00	0.79	0.21	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_145	0.0000	0.0000	0.0000	0.9986	0.0014	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_146	0.0000	0.0059	0.0059	0.9940	0.0001	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_147	0.0000	0.0149	0.0149	0.9407	0.0444	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.50	0.50	0.00	1.00	0.00	0.00
Baree_17_149	0.0000	0.0000	0.0000	0.9988	0.0012	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Baree_17_150	0.0069	0.0000	0.0069	0.9810	0.0121	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Bear_17_184	0.0000	0.9943	0.9943	0.0057	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_200	0.0000	0.9965	0.9965	0.0035	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_201	0.0000	0.9975	0.9975	0.0025	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_202	0.0000	0.9983	0.9983	0.0017	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_203	0.0000	1.0000	1.0000	0.0000	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_205	0.0000	0.9959	0.9959	0.0041	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_208	0.0000	0.9978	0.9978	0.0022	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_209	0.0000	0.9973	0.9973	0.0027	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_17_210	0.0000	0.9995	0.9995	0.0005	0.0000	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_001	0.0197	0.9646	0.9842	0.0156	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.50
Bear_21_002	0.0098	0.9844	0.9942	0.0057	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.50
Bear_21_003	0.0822	0.9118	0.9940	0.0058	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_004	0.0795	0.9073	0.9868	0.0130	0.0002	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_005	0.0484	0.9447	0.9930	0.0068	0.0002	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_006	0.0390	0.9584	0.9974	0.0026	0.0001	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_007	0.0490	0.9438	0.9928	0.0072	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_008	0.0297	0.9664	0.9960	0.0038	0.0001	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_009	0.1474	0.8455	0.9929	0.0070	0.0001	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_010	0.1225	0.8724	0.9949	0.0050	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_011	0.0000	0.9936	0.9936	0.0062	0.0002	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_013	0.0859	0.9112	0.9972	0.0026	0.0003	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.54	0.51	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_014	0.0773	0.9151	0.9924	0.0073	0.0003	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_015	0.0391	0.9519	0.9910	0.0089	0.0001	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
Bear_21_016	0.0493	0.9474	0.9967	0.0031	0.0002	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00
