sample_id	population	group
EForkYaak_20_018	EF_Yaak_20	Kootenai
EForkYaak_20_029	EF_Yaak_20	Kootenai
EForkYaak_20_030	EF_Yaak_20	Kootenai
EForkYaak_20_033	EF_Yaak_20	Kootenai
EForkYaak_20_041	EF_Yaak_20	Kootenai
EForkYaak_20_043	EF_Yaak_20	Kootenai
EForkYaak_20_046	EF_Yaak_20	Kootenai
EForkYaak_20_067	EF_Yaak_20	Kootenai
EForkYaak_20_071	EF_Yaak_20	Kootenai
EForkYaak_20_073	EF_Yaak_20	Kootenai
EForkYaak_20_078	EF_Yaak_20	Kootenai
EForkYaak_20_080	EF_Yaak_20	Kootenai
EForkYaak_20_089	EF_Yaak_20	Kootenai
EForkYaak_20_096	EF_Yaak_20	Kootenai
EFYaak_21_017	EF_Yaak_21	Kootenai
EFYaak_21_030	EF_Yaak_21	Kootenai
EFYaak_21_047	EF_Yaak_21	Kootenai
EFYaak_21_054_1	EF_Yaak_21	Kootenai
EFYaak_21_077	EF_Yaak_21	Kootenai
EFYaak_21_079	EF_Yaak_21	Kootenai
EFYaak_21_088	EF_Yaak_21	Kootenai
EFYaak_21_109	EF_Yaak_21	Kootenai
EFYaak_22_015	EF_Yaak_22	Kootenai
EFYaak_22_020	EF_Yaak_22	Kootenai
EFYaak_22_037	EF_Yaak_22	Kootenai
EFYaak_22_039	EF_Yaak_22	Kootenai
EFYaak_22_040	EF_Yaak_22	Kootenai
EFYaak_22_042	EF_Yaak_22	Kootenai
EFYaak_22_044	EF_Yaak_22	Kootenai
EFYaak_22_055	EF_Yaak_22	Kootenai
EFYaak_22_066	EF_Yaak_22	Kootenai
EFYaak_22_067	EF_Yaak_22	Kootenai
EFYaak_22_068	EF_Yaak_22	Kootenai
EFYaak_22_076	EF_Yaak_22	Kootenai
EFYaak_22_078	EF_Yaak_22	Kootenai
EFYaak_22_080	EF_Yaak_22	Kootenai
EFYaak_22_098	EF_Yaak_22	Kootenai
EFYaak_22_113	EF_Yaak_22	Kootenai
EFYaak_22_117	EF_Yaak_22	Kootenai
EFYaak_22_118	EF_Yaak_22	Kootenai
EFYaak_22_121	EF_Yaak_22	Kootenai
EFYaak_22_126	EF_Yaak_22	Kootenai
EFYaak_24_003	EF_Yaak_24	Kootenai
EFYaak_24_006	EF_Yaak_24	Kootenai
EFYaak_24_007	EF_Yaak_24	Kootenai
EFYaak_24_009	EF_Yaak_24	Kootenai
EFYaak_24_010	EF_Yaak_24	Kootenai
EFYaak_24_012	EF_Yaak_24	Kootenai
EFYaak_24_027	EF_Yaak_24	Kootenai
EFYaak_24_030	EF_Yaak_24	Kootenai
EFYaak_24_031	EF_Yaak_24	Kootenai
EFYaak_24_037	EF_Yaak_24	Kootenai
EFYaak_24_049	EF_Yaak_24	Kootenai
EFYaak_24_057	EF_Yaak_24	Kootenai
EFYaak_24_061	EF_Yaak_24	Kootenai
EFYaak_24_063	EF_Yaak_24	Kootenai
EFYaak_24_067	EF_Yaak_24	Kootenai
EFYaak_24_070	EF_Yaak_24	Kootenai
EFYaak_24_073	EF_Yaak_24	Kootenai
EFYaak_24_076	EF_Yaak_24	Kootenai
EFYaak_24_078	EF_Yaak_24	Kootenai
EFYaak_24_091	EF_Yaak_24	Kootenai
EFYaak_24_093	EF_Yaak_24	Kootenai
EFYaak_24_094	EF_Yaak_24	Kootenai
EFYaak_24_098	EF_Yaak_24	Kootenai
EFYaak_24_101	EF_Yaak_24	Kootenai
EFYaak_24_105	EF_Yaak_24	Kootenai
EFYaak_24_112	EF_Yaak_24	Kootenai
ELD_21_01	Eagle_Lake	Hatchery_CRT
ELD_21_02	Eagle_Lake	Hatchery_CRT
ELD_21_03	Eagle_Lake	Hatchery_CRT
ELD_21_04	Eagle_Lake	Hatchery_CRT
ELD_21_05	Eagle_Lake	Hatchery_CRT
ELD_21_06	Eagle_Lake	Hatchery_CRT
ELD_21_07	Eagle_Lake	Hatchery_CRT
ELD_21_08	Eagle_Lake	Hatchery_CRT
ELD_21_10	Eagle_Lake	Hatchery_CRT
ELD_21_12	Eagle_Lake	Hatchery_CRT
ELD_21_13	Eagle_Lake	Hatchery_CRT
ELD_21_14	Eagle_Lake	Hatchery_CRT
ELD_21_15	Eagle_Lake	Hatchery_CRT
ELD_21_16	Eagle_Lake	Hatchery_CRT
ELD_21_17	Eagle_Lake	Hatchery_CRT
ELD_21_18	Eagle_Lake	Hatchery_CRT
ELD_21_19	Eagle_Lake	Hatchery_CRT
ELD_21_20	Eagle_Lake	Hatchery_CRT
ELD_21_21	Eagle_Lake	Hatchery_CRT
ELD_21_22	Eagle_Lake	Hatchery_CRT
ELD_21_23	Eagle_Lake	Hatchery_CRT
ELD_21_24	Eagle_Lake	Hatchery_CRT
ELD_21_26	Eagle_Lake	Hatchery_CRT
ELD_21_27	Eagle_Lake	Hatchery_CRT
ELD_21_28	Eagle_Lake	Hatchery_CRT
ELD_21_29	Eagle_Lake	Hatchery_CRT
ELD_21_30	Eagle_Lake	Hatchery_CRT
GSH_22_02	Eagle_Lake	Hatchery_CRT
GSH_22_03	Eagle_Lake	Hatchery_CRT
GSH_22_05	Eagle_Lake	Hatchery_CRT
GSH_22_06	Eagle_Lake	Hatchery_CRT
GSH_22_07	Eagle_Lake	Hatchery_CRT
GSH_22_08	Eagle_Lake	Hatchery_CRT
GSH_22_09	Eagle_Lake	Hatchery_CRT
GSH_22_10	Eagle_Lake	Hatchery_CRT
GSH_22_11	Eagle_Lake	Hatchery_CRT
GSH_22_12	Eagle_Lake	Hatchery_CRT
GSH_22_13	Eagle_Lake	Hatchery_CRT
GSH_22_14	Eagle_Lake	Hatchery_CRT
GSH_22_15	Eagle_Lake	Hatchery_CRT
GSH_22_16	Eagle_Lake	Hatchery_CRT
GSH_22_17	Eagle_Lake	Hatchery_CRT
GSH_22_18	Eagle_Lake	Hatchery_CRT
GSH_22_20	Eagle_Lake	Hatchery_CRT
GSH_22_22	Eagle_Lake	Hatchery_CRT
GSH_22_24	Eagle_Lake	Hatchery_CRT
GSH_22_25	Eagle_Lake	Hatchery_CRT
GSH_22_26	Eagle_Lake	Hatchery_CRT
GSH_22_27	Eagle_Lake	Hatchery_CRT
GSH_22_28	Eagle_Lake	Hatchery_CRT
GSH_22_29	Eagle_Lake	Hatchery_CRT
GSH_22_30	Eagle_Lake	Hatchery_CRT
GSH_22_32	Eagle_Lake	Hatchery_CRT
GSH_22_33	Eagle_Lake	Hatchery_CRT
GSH_22_34	Eagle_Lake	Hatchery_CRT
GSH_22_35	Eagle_Lake	Hatchery_CRT
HW1_23_01	Lo_McLeod_R	Athabasca
HW1_23_02	Lo_McLeod_R	Athabasca
HW1_23_03	Lo_McLeod_R	Athabasca
HW1_23_05	Lo_McLeod_R	Athabasca
HW1_23_06	Lo_McLeod_R	Athabasca
HW1_23_08	Lo_McLeod_R	Athabasca
HW1_23_13	Lo_McLeod_R	Athabasca
HW2_23_02	Lo_McLeod_R	Athabasca
HW2_23_03	Lo_McLeod_R	Athabasca
HW2_23_04	Lo_McLeod_R	Athabasca
HW3_23_01	Lo_McLeod_R	Athabasca
HW3_23_03	Lo_McLeod_R	Athabasca
HW3_23_04	Lo_McLeod_R	Athabasca
HW3_23_05	Lo_McLeod_R	Athabasca
HW3_23_06	Lo_McLeod_R	Athabasca
HW3_23_07	Lo_McLeod_R	Athabasca
HW3_23_08	Lo_McLeod_R	Athabasca
HW3_23_09	Lo_McLeod_R	Athabasca
HW3_23_10	Lo_McLeod_R	Athabasca
HW3_23_11	Lo_McLeod_R	Athabasca
HW4_23_01	Lo_McLeod_R	Athabasca
HW4_23_02	Lo_McLeod_R	Athabasca
HW4_23_03	Lo_McLeod_R	Athabasca
HW4_23_04	Lo_McLeod_R	Athabasca
HW4_23_05	Lo_McLeod_R	Athabasca
HW4_23_06	Lo_McLeod_R	Athabasca
HW4_23_07	Lo_McLeod_R	Athabasca
HW4_23_08	Lo_McLeod_R	Athabasca
HW4_23_09	Lo_McLeod_R	Athabasca
MAS6_21_02	Up_Mcleod	Athabasca
MAS6_21_04	Up_Mcleod	Athabasca
MC_DE_0006	Deerlick	Athabasca
MC_WA_0018	Wampus	Athabasca
MC_WA_0019	Wampus	Athabasca
MK1_23_02	Mink	Athabasca
MK1_23_03	Mink	Athabasca
