Sample_ID	Heterozygosity
Abbot_20_01	0.00717649697241534
Abbot_20_03	0.0036459388292485314
Abbot_20_26	0.010603253036854025
AdamsBR3_17_01	0.00037519932464121565
AdamsBR3_17_02	0.0017992083483267362
AdamsBR3_17_03	0.0012652507907817442
AdamsBR3_17_07	0.00020026033843997197
AdamsBR3_17_09	0.0024171888988361685
AdamsBR3_17_11	0.0001854943424225561
AdamsBR3_17_12	0.0013413216489314137
AdamsBR3_17_13	0.0018052256532066508
AdamsBR3_17_15	0.00205945558739255
AdamsBR3_17_19	0.0011641443538998836
AdamsBR3_17_20	0.0004745183638606814
AdamsBR3_17_22	0.0010754615522495072
AdamsBR3_17_24	0.0011631028003936655
AdamsBR3_17_25	0.0010736333542095374
AdamsBR3_17_28	0.00026876903780684465
ARD_20_01	0.0005932957579353308
ARD_20_02	0.0008477769404672192
ARD_20_03	0.0006798096532970768
ARD_20_05	0.00046992481203007516
ARD_20_06	0.00022386389075442132
ARD_20_07	0.0007550018875047187
ARD_20_10	0.0005665722379603399
ARD_20_11	0.0005721369314389244
ARD_20_12	0.0010421601136901943
ARD_20_13	0.0009410878976096367
ARD_20_14	0.0010361718161266014
ARD_20_15	0.000473305566073457
ARD_20_16	0.0009394081728511038
ARD_20_17	0.00021910604732690623
ARD_20_18	0.0007764728719790353
ARD_20_20	0.0005828071879553182
ARD_20_21	0.0006135596686777789
ARD_20_22	0.00047156465151372253
ARD_20_23	0.0008602561651691837
ARD_20_24	0.0008820070560564484
ARD_20_25	0.0010728567248610163
ARD_20_26	0.0006027727546714888
ARD_20_27	0.000940910801656003
ARD_20_28	0.001005631536604988
ARD_20_29	0.0008720930232558139
ARD_20_30	0.00046908715639365793
ARD_20_31	0.001052833078101072
Arlee_06_04	0.0006651463321930824
Arlee_06_05	0.0010990218705352237
Arlee_06_10	0.0007627037849175327
Arlee_06_11	0.00117096018735363
Arlee_06_12	0.0008909126905563254
Arlee_06_14	0.0012545739675901724
Arlee_06_15	0.0009876543209876543
Arlee_06_16	0.0006830601092896175
Arlee_06_17	0.0009690861517588913
Arlee_06_18	0.00041981528127623844
Arlee_06_19	0.0011616650532429815
Arlee_06_20	0.0004773725415314111
Arlee_06_21	0.0006732711359045878
Arlee_06_22	0.0009101941747572816
Arlee_06_23	0.001079066117323916
Arlee_06_24	0.0005048975058063213
Arlee_08_02	0.0004884004884004884
Arlee_08_07	0.00040945849114546015
Arlee_08_08	0.0002918004085205719
Arlee_08_09	0.00019280825219319386
Arlee_08_11	0.000742469240560034
Arlee_08_13	0.0010193679918450561
Arlee_08_14	0.001156555567237935
Arlee_08_16	0.0006265664160401002
Arlee_08_18	0.0008956115036322022
Arlee_08_20	0.0014418917619917332
Arlee_BY21_01_1	0.0006047167909695626
Arlee_BY21_01	0.0007795751315533034
Arlee_BY21_02	0.0012661926560825947
Arlee_BY21_03	0.000308546744831842
Arlee_BY21_04	0.0009649017006392474
Arlee_BY21_05	0.001749271137026239
Arlee_BY21_06	0.0020783847980997625
Arlee_BY21_07	0.0006719139950086389
ArleeBY_21_07	0.0007333394444953708
Arlee_BY21_08	0.0010513036164844407
Arlee_BY21_09	0.000474158368895211
Arlee_BY21_10	0.00029726516052318666
Arlee_BY21_13	0.0005297732570459843
Arlee_BY21_15	0.0006903353057199211
Arlee_BY21_17	0.0006800738365879724
Arlee_BY21_18	0.00037105751391465676
Arlee_BY21_19	0.0012253650566731338
Arlee_BY21_20	0.001378766988378964
Arlee_BY21_21	0.0022338880822070813
Arlee_BY21_22	0.0006937561942517344
Arlee_BY21_23	0.0003848003848003848
Arlee_BY21_24	0.001745917633768101
Arlee_BY21_25	0.0007699711260827719
Arlee_BY21_27	0.0007051475773143951
Arlee_BY21_29	0.0008839779005524862
Arlee_BY21_30	0.0004928050463236743
AT_AB_0228	0.001954397394136808
AT_AT_0003	0.0006768516727905628
AT_BB_0001	0.0018840839763143728
AuburnFH_14_23	0.0
AuburnFH_14_24	0.0
AuburnFH_14_25	9.009820704567979e-05
AuburnFH_14_26	0.0
AuburnFH_14_43	0.0
AuburnFH_14_44	0.0
AuburnFH_14_45	9.022013713460844e-05
AuburnFH_14_46	0.0
B10_21_17	0.0005407354001441961
Baree_17_121	0.030831604752027154
Baree_17_122	0.029329203368502563
Baree_17_123	0.04185790343308243
Baree_17_124	0.020756115641215715
Baree_17_125	0.047864033073036286
Baree_17_126	0.00028625954198473283
Baree_17_128	0.01320361362056984
Baree_17_129	0.0006370586093920641
Baree_17_130	0.03162269606071558
Baree_17_131	0.06604117325560212
Baree_17_132	0.04402573529411765
Baree_17_133	0.009775892280734114
Baree_17_134	0.007202881152460984
Baree_17_135	0.00032690421706440013
Baree_17_136	0.005248135530798269
Baree_17_137	0.03461900282220132
Baree_17_138	0.1077207582061951
Baree_17_139	0.015739283399685215
Baree_17_140	0.009604929322218195
Baree_17_141	0.0545822102425876
Baree_17_142	0.02889291503766568
Baree_17_143	0.008541666666666666
Baree_17_144	0.004354270891235872
Baree_17_145	0.0010780086240689925
Baree_17_146	0.011152416356877323
Baree_17_147	0.022152254582255705
Baree_17_149	0.0014812071838548417
Baree_17_150	0.008528584817244611
BC1_23_01	0.00044859142293199355
BC2_23_01	0.00018060321473722233
BC2_23_02	0.0022459796963435453
BC2_23_04	0.0008626473689255248
BC3_23_01	0.0019974577810059923
BC3_23_02	0.0007259528130671506
BCC1_23_01	0.0014603870025556773
BCC1_23_03	0.0014254490164401787
Bear_17_184	0.008598171528080104
Bear_17_200	0.005985508768245301
Bear_17_201	0.0010437202829641657
Bear_17_202	0.0006359011627906977
Bear_17_203	0.0
Bear_17_205	0.0021947873799725653
Bear_17_208	0.0016250836440110889
Bear_17_209	0.0023221252089912687
Bear_17_210	9.263547938860583e-05
Bear_21_001	0.027815529582314036
Bear_21_002	0.007869790735109999
Bear_21_003	0.006004660333393082
Bear_21_004	0.02828155862811995
Bear_21_005	0.0109377801685494
Bear_21_006	0.001661436219309581
Bear_21_007	0.010744985673352435
Bear_21_008	0.004567845947156292
Bear_21_009	0.008347545103671125
Bear_21_010	0.005898123324396783
Bear_21_011	0.007984927328189485
Bear_21_013	0.0017018989609458976
Bear_21_014	0.01314708299096138
Bear_21_015	0.014140681653372008
Bear_21_016	0.003680100529575442
Bear_21_017	0.022547610492274522
Bear_21_018	0.00930066177785727
Bear_21_019	0.0026159119610319323
Bear_21_021	0.00889647735442128
Bear_21_022	0.005219582433405328
Bear_21_023	0.0042069459362692446
Bear_21_024	0.007940129597517569
Bear_21_026	0.010092744135297326
Bear_21_027	0.0033106657122405152
Bear_21_028	0.007615805035391094
Bear_21_029	0.007443042570572751
Bear_21_030	0.0015248004305318862
Bear_21_031	0.014303706369197554
Bear_21_032	0.010037641154328732
Bear_21_033	0.003422806701495226
Bear_21_034	0.012998736233977253
Bear_21_035	0.010003604902667627
Bear_21_036	0.010551730304927122
Bear_21_037	0.013172140021652833
Bear_21_038	0.007791232516661973
Bear_21_039_1	0.007509386733416771
Bear_21_039	0.006490361329071007
Bear_21_040	0.016726179289607217
Bear_21_041	0.02869401984446232
Bear_21_042	0.01154672395273899
Bear_21_043	0.0008058739255014327
Bear_21_044	0.014986987346316073
Bear_21_045	0.009895645915797049
Bear_21_046	0.009797578334411684
Bear_21_047	0.015399767212821202
Bear_21_048	0.010806393025790046
Bear_21_049	0.011086276262852034
Bear_21_050	0.008958165367732689
Bear_21_051	0.005982053838484547
Bear_21_052	0.009167649995461559
Bear_21_053	0.0051318988025569464
Bear_21_054	0.013923564432494718
Bear_21_055	0.009005763688760807
Bear_21_056	0.029114037445131236
Bear_21_057	0.0033360382291948427
Bear_21_058	0.019267646790247468
Bear_21_061	0.0014315111389460499
Bear_21_062	0.0035460992907801418
Bear_21_063	0.009939966538726504
Bear_21_064	0.005559042410113871
Bear_21_065	0.00506649778340722
Bear_21_066	0.004609569466211856
Bear_21_067	0.009164420485175202
Bear_21_068	0.018059299191374664
Bear_21_069	0.01065784638000735
Bear_21_070	0.0124795044634724
Bear_21_071	0.016644969313743724
Bear_21_072	0.001870631091857832
Bear_21_073	0.014977578475336322
Bear_21_074	0.004359363153904473
Bear_21_075	0.015454134658834162
Bear_21_076	0.008247027234369007
Bear_21_077	0.010549093859886394
Bear_21_078	0.009173478655767484
Bear_21_079	0.0016294016475061103
Bear_21_080	0.014184397163120567
Bear_21_081	0.002860463037454188
Bear_21_083	0.005828028333183897
Bear_21_084	0.005154639175257732
Bear_21_086	0.012126111560226353
Bear_21_087	0.006363147517476251
Bear_21_088	0.0019223375624759708
Bear_21_089	0.019010043041606885
Bear_21_090	0.012641847501493131
Bear_21_091	0.004036598493003229
Bear_21_092	0.01830348356622712
Bear_21_094	0.0005592319880697176
Bear_21_095	0.005813953488372093
Bear_21_096	0.01031857343217792
Bear_21_097	0.0028735632183908046
Bear_21_098	0.011145452842558771
Bear_21_099	0.008940545373267769
Bear_21_100	0.0012396300181176695
Bear_21_101	0.010604835085827267
Bear_21_102	0.01884760366182014
Bear_21_103	0.02827015725843105
Bear_24_001	0.0028576531523486336
Bear_24_002_1	0.002778026704901873
Bear_24_002	0.0027184466019417475
Bear_24_003	0.00045587162654996355
Bear_24_004	0.002645020065669464
Bear_24_005	0.0026093215763901387
Bear_24_007	0.007783841818019147
Bear_24_008	0.0027077692147469278
Bear_24_009	0.007565273549220408
Bear_24_012	0.006817977931281959
Bear_24_013	0.0005365286595725655
Bear_24_014	0.0028764044943820227
Bear_24_015	0.001072481901867906
Bear_24_016	0.001792435920415845
Bear_24_017	0.002239942657467969
Bear_24_018	8.958967926894822e-05
Bear_24_019	0.004996636879023734
Bear_24_020	0.0005408816370684216
Bear_24_021	0.0029257588687065707
Bear_24_022	0.0022381378692927483
Bear_24_023	0.002697674418604651
Bear_24_024	0.001612614226841068
Bear_24_025	0.0
Bear_24_027	0.0004510193036261952
Bear_24_028	0.0011852662290299052
Bear_24_029	0.001366867140513942
Bear_24_030	0.007909090909090909
Bear_24_031_1	0.000985663082437276
Bear_24_031	0.0009866355726971029
Bear_24_032_1	0.0007231311579137666
Bear_24_032	0.0008062348830959419
Bear_24_033_1	0.002511661284535343
Bear_24_033	0.0023312113332735586
Bear_24_034_1	0.0003596475454055026
Bear_24_034	0.00047165361758324685
Bear_24_035_1	0.002863790943261142
Bear_24_035	0.0028712427097353074
Bear_24_036_1	0.007370786516853933
Bear_24_036	0.007864867280364644
Bear_24_037_1	0.004745391494798321
Bear_24_037	0.004919059118146856
Bear_24_038_1	0.0
Bear_24_038	0.0
Bear_24_039	0.002681204754669765
Bear_24_040	0.0003614022406938923
Bear_24_041	0.0003140046054008792
Bear_24_042	0.0006024096385542169
Bear_24_043	0.004767580452920143
Bear_24_044	0.0
Bear_24_045	0.003038698721959067
Bear_24_046	0.0006448641179180101
Bear_24_047	0.0007160118141949343
Bear_24_048	0.000931098696461825
Bear_24_049	0.000626846959792245
Bear_24_050	0.0017084794532865749
Bear_24_051	0.002969495185818411
Bear_24_052	0.004213734982965752
Bear_24_053	0.00026819238333631326
Bear_24_054	0.012778977681785457
Bear_24_055	0.009587813620071684
Bear_24_056	0.005800898203592814
Bear_24_057	0.0
Bear_24_058	0.0057859209257473485
Bear_24_059	0.0010775862068965517
Bear_24_060	0.000357493967289302
Bear_24_061	0.0006441520198766909
Bear_24_062	0.0014329213684399068
Bear_24_063	9.918666931164451e-05
Bear_24_064	0.0
Bear_24_065	0.0
Bear_24_066	0.0045576962916925624
Bear_24_067	0.008057296329453895
Bear_24_068	0.008496556658617297
Bear_24_069	8.943743851176102e-05
Bear_24_070	0.002717883674578728
Bear_24_071	0.00044710721631047124
Bear_24_072	0.0024704913532802636
Bear_24_073	0.009755660968405978
Bear_24_074	0.00231438622477319
Bear_24_075	0.00036084799278304015
Bear_24_076	0.0012523481527864746
Bear_24_077	8.93415527561869e-05
Bear_24_078	0.0005384546351969847
Bear_24_079	8.994423457456377e-05
Bear_24_080	0.0
Bear_24_081	9.112447603426281e-05
Bear_24_082	0.0008045771500089397
Bear_24_083	0.00019286403085824494
Bear_24_084	0.003425892535160476
Bear_24_086	0.0007156275158779856
Bear_24_087	0.005455195850473976
Bear_24_088	0.007967057559752931
Bear_24_089	0.009050592813829306
Bear_24_090	0.000536480686695279
Bear_24_091	0.0020224491859642028
Bear_24_092	0.0008097165991902834
Bear_24_093	0.0026819238333631325
Bear_24_094	0.00026797677534613664
Bear_24_095	0.0002907822041291073
Bear_24_096	0.00018157058556513844
Bear_24_097	8.946944618412812e-05
Bear_24_098	0.004035150645624103
Bear_24_100	0.0002710761724044456
Bear_24_101	0.0002002002002002002
Bear_24_102	0.00054005400540054
Bear_24_105	0.015439856373429085
BearCreek_20_001	0.0025273039082949725
BearCreek_20_002	0.0006260060812019317
BearCreek_20_003	0.006274088016491888
BearCreek_20_004	0.009701049297168878
BearCreek_20_006	0.0036319612590799033
BearCreek_20_007	0.003908735569493682
BearCreek_20_008	0.003691058410999354
BearCreek_20_009	0.006731565865782933
BearCreek_20_010	0.02473886750962067
BearCreek_20_011	0.0073840612336785235
BearCreek_20_012	0.006861682918020947
BearCreek_20_013	0.0074491452583325376
BearCreek_20_014	0.005346624376982329
BearCreek_20_015	0.010015478466721297
BearCreek_20_016	0.006424185167690127
BearCreek_20_017	0.006619733109173059
BearCreek_20_018	0.011015583019881784
BearCreek_20_019	0.00874874692426866
BearCreek_20_020	0.007608987557067406
BearCreek_20_021	0.009772279003048234
BearCreek_20_023	0.005499541704857928
BearCreek_20_024	0.005727491961414791
BearCreek_20_025	0.002601130146201453
BearCreek_20_026	0.005459590083236374
BearCreek_20_027	0.00762673844773441
BearCreek_20_028	0.018612975391498882
BearCreek_20_029	0.0166696702108488
BearCreek_20_030	0.007469484423392239
BearCreek_20_031	0.010215969172864952
BearCreek_20_032	0.004732300269091584
BearCreek_20_033	0.01119234587959202
BearCreek_20_034	0.011265087170317389
BearCreek_20_035	0.004489942528735632
BearCreek_20_036	0.0008975854950184005
BearCreek_20_037	0.008845437616387336
BearCreek_20_038	0.004179846362403977
BearCreek_20_039	0.014591352609435145
BearCreek_20_040	0.014716504153123871
BearCreek_20_041	0.008452477295207265
BearCreek_20_042	0.00471954982755491
BearCreek_20_043	0.0148624029149487
BearCreek_20_044	0.0294908569379706
BearCreek_20_045	0.013162607449856733
BearCreek_20_046	0.019736842105263157
BearCreek_20_047	0.007518796992481203
BearCreek_20_048	0.010644007155635063
BearCreek_20_049	0.01837270341207349
BearCreek_20_050	0.009843400447427294
BearCreek_20_051	0.005846901142394531
BearCreek_20_052	0.003150882247029168
BearCreek_20_053	0.01234790446146913
BearCreek_20_054	0.011775280898876405
BearCreek_20_055	0.013656605640771894
BearCreek_20_056	0.007013757755597518
BearCreek_20_057	0.015296023034011157
BearCreek_20_058	0.008016216714272552
BearCreek_20_059	0.009171837065012138
BearCreek_20_060	0.02174111628756737
BearCreek_20_061	0.0034787514103046258
BearCreek_20_062	0.00403153556710267
BearCreek_20_063	0.007896625987078248
BearCreek_20_064	0.01800913896604247
BearCreek_20_065	0.013804230907135173
BearCreek_20_066	0.014228187919463087
BearCreek_20_067	0.007799038723134125
BearCreek_20_068	0.003668247293549253
BearCreek_20_069	0.00430739109153206
BearCreek_20_070	0.05493223229512611
BearCreek_20_071	0.0033967998569768483
BearCreek_20_072	0.0015369315613416507
BearCreek_20_073	0.009602327837051406
BearCreek_20_074	0.01765504753282028
BearCreek_20_075	0.014942099364960777
BearCreek_20_076	0.007064925773564657
BearCreek_20_077	0.002812046444121916
BearCreek_20_078	0.003938996061003939
BearCreek_20_079	0.00411522633744856
BearCreek_20_080	0.017094782063904055
BearCreek_20_081	0.0038906985161056822
BearCreek_20_082	0.0034871244635193135
BearCreek_20_083	0.0076858412393419
BearCreek_20_084	0.010456569003002382
BearCreek_20_085	0.0045892198326284534
BearCreek_20_087	0.0031899380240612467
BearCreek_20_089	0.007849151930710934
BearCreek_20_090	0.0032292787944025836
BearCreek_20_091	0.027864059930568244
BearCreek_20_092	0.029016018306636155
BearCreek_20_093	0.003214695752009185
BearCreek_20_094	0.0022885389967045038
BearCreek_20_095	0.02177825773938085
BearCreek_20_096	0.006436041834271922
BearCreek_20_097	0.003040872909399875
BearCreek_20_098	0.01565377532228361
BearCreek_20_099	0.016342836390049027
BearCreek_20_100	0.014254975793437331
BearNF_23_17	0.015917704385489985
BearUp_22_01	0.0005374417771408098
BearUp_22_02_1	8.946944618412812e-05
BearUp_22_02	0.0007042962068618574
BearUp_22_03	0.001998737639385651
BearUp_22_04	0.00044694734960221686
BearUp_22_05	8.94534394847482e-05
BearUp_22_06	0.00205761316872428
BearUp_22_07	0.0005370569280343716
BearUp_22_08	0.007348328703288825
BearUp_22_09	0.00035826242722794446
BearUp_22_100	0.0022753128555176336
BearUp_22_101	0.00705371676614216
BearUp_22_103	0.001904943327935994
BearUp_22_105	0.004760621575496273
BearUp_22_106	0.010664037996236221
BearUp_22_107	0.008141719602755658
BearUp_22_108	0.002234012845573862
BearUp_22_109	0.00018011527377521613
BearUp_22_10	0.008428981348637015
