Sample_ID	CRT_admix	IRT_admix	RBT_admix	WCT_admix	YCT_admix
Arlee_BY21_23	0.999969	0.000011	0.99998	0.00001	0.00001
Arlee_BY21_24	0.99997	0.00001	0.99998	0.00001	0.00001
Arlee_BY21_25	0.99997	0.00001	0.99998	0.00001	0.00001
Arlee_BY21_27	0.99997	0.00001	0.99998	0.00001	0.00001
Arlee_BY21_29	0.999969	0.000011	0.99998	0.00001	0.000011
Arlee_BY21_30	0.999969	0.000011	0.99998	0.00001	0.000011
AT_AB_0228	0.042741	0.957239	0.99998	0.00001	0.00001
AT_AT_0003	0.136159	0.863821	0.99998	0.00001	0.00001
AT_BB_0001	0.999969	0.000011	0.99998	0.00001	0.00001
AuburnFH_14_23	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_24	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_25	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_26	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_43	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_44	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_45	0.00001	0.00001	0.00002	0.00001	0.99997
AuburnFH_14_46	0.00001	0.00001	0.00002	0.00001	0.99997
B10_21_17	0.035221	0.964759	0.99998	0.00001	0.00001
Baree_17_121	0.012978	0.00001	0.012988	0.955869	0.031143
Baree_17_122	0.008033	0.003171	0.011204	0.947332	0.041464
Baree_17_123	0.018307	0.00046	0.018767	0.972508	0.008725
Baree_17_124	0.015122	0.00001	0.015132	0.938472	0.046396
Baree_17_125	0.025006	0.001463	0.026469	0.935575	0.037956
Baree_17_126	0.00001	0.00001	0.00002	0.999969	0.000011
Baree_17_128	0.006591	0.00001	0.006601	0.977222	0.016178
Baree_17_129	0.000011	0.00001	0.000021	0.99892	0.001059
Baree_17_130	0.011338	0.002286	0.013624	0.960224	0.026152
Baree_17_131	0.024871	0.001962	0.026833	0.953695	0.019472
Baree_17_132	0.022933	0.00001	0.022943	0.947263	0.029794
Baree_17_133	0.00309	0.00001	0.0031	0.981971	0.014929
Baree_17_134	0.002814	0.00001	0.002824	0.985674	0.011502
Baree_17_135	0.000011	0.00001	0.000021	0.999968	0.000011
Baree_17_136	0.002979	0.00001	0.002989	0.988666	0.008345
Baree_17_137	0.010274	0.003603	0.013877	0.979094	0.007029
Baree_17_138	0.045471	0.003048	0.048519	0.93265	0.018831
Baree_17_139	0.007485	0.00001	0.007495	0.961225	0.031281
Baree_17_140	0.00001	0.003706	0.003716	0.996274	0.00001
Baree_17_141	0.024848	0.002489	0.027337	0.944848	0.027815
Baree_17_142	0.01348	0.00001	0.01349	0.981601	0.004909
Baree_17_143	0.003844	0.00001	0.003854	0.990645	0.005501
Baree_17_144	0.00179	0.00001	0.0018	0.981536	0.016664
Baree_17_145	0.00001	0.00001	0.00002	0.999968	0.000012
Baree_17_146	0.00001	0.003541	0.003551	0.996439	0.00001
Baree_17_147	0.013312	0.00001	0.013322	0.937012	0.049665
Baree_17_149	0.000011	0.00001	0.000021	0.998705	0.001275
Baree_17_150	0.003523	0.00001	0.003533	0.983053	0.013414
BC1_23_01	0.026783	0.973196	0.999979	0.00001	0.00001
BC2_23_01	0.00001	0.99997	0.99998	0.00001	0.00001
BC2_23_02	0.018985	0.980995	0.99998	0.00001	0.00001
BC2_23_04	0.036218	0.963762	0.99998	0.00001	0.00001
BC3_23_01	0.003557	0.996423	0.99998	0.00001	0.00001
BC3_23_02	0.03791	0.96207	0.99998	0.00001	0.00001
BCC1_23_01	0.00001	0.99997	0.99998	0.00001	0.00001
BCC1_23_03	0.009349	0.990631	0.99998	0.00001	0.00001
Bear_17_184	0.000011	0.99997	0.999981	0.00001	0.00001
Bear_17_200	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_17_201	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_17_202	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_17_203	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_17_205	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_17_208	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_17_209	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_17_210	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_21_001	0.036674	0.950192	0.986866	0.013124	0.00001
Bear_21_002	0.010591	0.986333	0.996924	0.003066	0.00001
Bear_21_003	0.029012	0.969611	0.998623	0.001367	0.00001
Bear_21_004	0.080017	0.90865	0.988667	0.011323	0.00001
Bear_21_005	0.071516	0.923969	0.995485	0.004505	0.00001
Bear_21_006	0.034041	0.965939	0.99998	0.00001	0.00001
Bear_21_007	0.041022	0.95512	0.996142	0.003849	0.00001
Bear_21_008	0.030373	0.96819	0.998563	0.001427	0.00001
Bear_21_009	0.068371	0.928672	0.997043	0.002947	0.00001
Bear_21_010	0.083794	0.914602	0.998396	0.001594	0.00001
Bear_21_011	0.044524	0.953222	0.997746	0.002244	0.00001
Bear_21_013	0.087651	0.912329	0.99998	0.00001	0.00001
Bear_21_014	0.047943	0.946594	0.994537	0.005453	0.00001
Bear_21_015	0.044309	0.950213	0.994522	0.005468	0.00001
Bear_21_016	0.047215	0.952765	0.99998	0.00001	0.00001
Bear_21_017	0.061352	0.927327	0.988679	0.01131	0.00001
Bear_21_018	0.047455	0.947734	0.995189	0.004801	0.00001
Bear_21_019	0.007308	0.992672	0.99998	0.00001	0.00001
Bear_21_021	0.047244	0.94892	0.996164	0.003826	0.00001
Bear_21_022	0.063151	0.935313	0.998464	0.001526	0.00001
Bear_21_023	0.056049	0.943382	0.999431	0.000559	0.00001
Bear_21_024	0.057804	0.939825	0.997629	0.002362	0.00001
Bear_21_026	0.043711	0.952232	0.995943	0.004048	0.00001
Bear_21_027	0.05406	0.94592	0.99998	0.00001	0.00001
Bear_21_028	0.042976	0.95533	0.998306	0.001684	0.00001
Bear_21_029	0.040402	0.957694	0.998096	0.001894	0.00001
Bear_21_030	0.002341	0.997639	0.99998	0.00001	0.00001
Bear_21_031	0.065699	0.927725	0.993424	0.006566	0.00001
Bear_21_032	0.03007	0.966268	0.996338	0.003652	0.00001
Bear_21_033	0.01966	0.98032	0.99998	0.00001	0.00001
Bear_21_034	0.039349	0.95527	0.994619	0.00537	0.00001
Bear_21_035	0.046647	0.949695	0.996342	0.003648	0.00001
Bear_21_036	0.045649	0.951778	0.997427	0.002564	0.00001
Bear_21_037	0.036943	0.958241	0.995184	0.004806	0.00001
Bear_21_038	0.077491	0.919845	0.997336	0.002654	0.00001
Bear_21_039_1	0.048805	0.94859	0.997395	0.002594	0.00001
Bear_21_039	0.040929	0.956934	0.997863	0.002127	0.00001
Bear_21_040	0.074059	0.919381	0.99344	0.006549	0.00001
Bear_21_041	0.021908	0.966329	0.988237	0.011754	0.00001
Bear_21_042	0.073149	0.922087	0.995236	0.004754	0.00001
Bear_21_043	0.012028	0.987952	0.99998	0.00001	0.00001
Bear_21_044	0.087876	0.904806	0.992682	0.007309	0.00001
Bear_21_045	0.079379	0.9159	0.995279	0.004711	0.00001
Bear_21_046	0.051214	0.945747	0.996961	0.003029	0.00001
Bear_21_047	0.047057	0.946438	0.993495	0.006495	0.00001
Bear_21_048	0.048547	0.94833	0.996877	0.003113	0.00001
Bear_21_049	0.024441	0.97076	0.995201	0.004789	0.00001
Bear_21_050	0.043681	0.953172	0.996853	0.003137	0.00001
Bear_21_051	0.086839	0.912495	0.999334	0.000656	0.00001
Bear_21_052	0.009873	0.987095	0.996968	0.003023	0.00001
Bear_21_053	0.046113	0.953867	0.99998	0.00001	0.00001
Bear_21_054	0.087251	0.908502	0.995753	0.004237	0.00001
Bear_21_055	0.085599	0.912147	0.997746	0.002244	0.00001
Bear_21_056	0.039872	0.946789	0.986661	0.013329	0.00001
Bear_21_057	0.029912	0.970068	0.99998	0.00001	0.00001
Bear_21_058	0.063342	0.927767	0.991109	0.008881	0.00001
Bear_21_061	0.028991	0.970438	0.999429	0.000561	0.00001
Bear_21_062	0.066814	0.932622	0.999436	0.000554	0.00001
Bear_21_063	0.022944	0.973819	0.996763	0.003227	0.00001
Bear_21_064	0.067186	0.930444	0.99763	0.002359	0.00001
Bear_21_065	0.046611	0.953369	0.99998	0.00001	0.00001
Bear_21_066	0.088502	0.909273	0.997775	0.002215	0.00001
Bear_21_067	0.013279	0.984161	0.99744	0.002551	0.00001
Bear_21_068	0.049651	0.943033	0.992684	0.007306	0.00001
Bear_21_069	0.02369	0.972484	0.996174	0.003816	0.00001
Bear_21_070	0.013932	0.981351	0.995283	0.004708	0.00001
Bear_21_071	0.025501	0.965082	0.990583	0.009407	0.00001
Bear_21_072	0.093529	0.906451	0.99998	0.00001	0.00001
Bear_21_073	0.075955	0.91795	0.993905	0.006084	0.00001
Bear_21_074	0.012858	0.986026	0.998884	0.001107	0.00001
Bear_21_075	0.033899	0.960111	0.99401	0.005979	0.00001
Bear_21_076	0.071861	0.925871	0.997732	0.002259	0.00001
Bear_21_077	0.110834	0.88578	0.996614	0.003376	0.00001
Bear_21_078	0.046959	0.951948	0.998907	0.001083	0.00001
Bear_21_079	0.051192	0.948788	0.99998	0.00001	0.00001
Bear_21_080	0.036989	0.958544	0.995533	0.004457	0.00001
Bear_21_081	0.022844	0.977136	0.99998	0.00001	0.00001
Bear_21_083	0.036062	0.963799	0.999861	0.000129	0.00001
Bear_21_084	0.020921	0.979059	0.99998	0.00001	0.00001
Bear_21_086	0.032468	0.963004	0.995472	0.004519	0.00001
Bear_21_087	0.051565	0.946384	0.997949	0.002041	0.00001
Bear_21_088	0.008359	0.991621	0.99998	0.00001	0.00001
Bear_21_089	0.0257	0.96595	0.99165	0.00834	0.00001
Bear_21_090	0.02953	0.964797	0.994327	0.005662	0.00001
Bear_21_091	0.097993	0.901659	0.999652	0.000338	0.00001
Bear_21_092	0.037251	0.953518	0.990769	0.00922	0.00001
Bear_21_094	0.080103	0.919877	0.99998	0.00001	0.00001
Bear_21_095	0.039419	0.958412	0.997831	0.002159	0.00001
Bear_21_096	0.035462	0.959421	0.994883	0.005107	0.00001
Bear_21_097	0.063553	0.936427	0.99998	0.00001	0.00001
Bear_21_098	0.066376	0.928999	0.995375	0.004615	0.00001
Bear_21_099	0.059008	0.938487	0.997495	0.002495	0.00001
Bear_21_100	0.026451	0.973529	0.99998	0.00001	0.00001
Bear_21_101	0.023014	0.964908	0.987922	0.012068	0.00001
Bear_21_102	0.035339	0.958053	0.993392	0.006598	0.00001
Bear_21_103	0.046165	0.940588	0.986753	0.013237	0.00001
Bear_24_001	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_002_1	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_002	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_003	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_004	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_005	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_007	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_008	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_009	0.000011	0.9982	0.998211	0.001779	0.00001
Bear_24_012	0.000012	0.999771	0.999783	0.000207	0.00001
Bear_24_013	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_014	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_015	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_016	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_017	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_018	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_019	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_020	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_021	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_022	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_023	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_024	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_025	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_027	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_028	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_029	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_030	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_031_1	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_031	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_032_1	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_032	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_033_1	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_033	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_034_1	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_034	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_035_1	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_035	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_036_1	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_036	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_037_1	0.000011	0.999542	0.999553	0.000437	0.00001
Bear_24_037	0.000011	0.99939	0.999401	0.000589	0.00001
Bear_24_038_1	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_038	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_039	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_040	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_041	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_042	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_043	0.000012	0.999193	0.999205	0.000786	0.00001
Bear_24_044	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_045	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_046	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_047	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_048	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_049	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_050	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_051	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_052	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_053	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_054	0.000011	0.995993	0.996004	0.003986	0.00001
Bear_24_055	0.000011	0.999017	0.999028	0.000962	0.00001
Bear_24_056	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_057	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_058	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_059	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_060	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_061	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_062	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_063	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_064	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_065	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_066	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_067	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_068	0.000011	0.999639	0.99965	0.00034	0.00001
Bear_24_069	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_070	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_071	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_072	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_073	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_074	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_075	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_076	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_077	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_078	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_079	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_080	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_081	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_082	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_083	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_084	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_086	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_087	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_088	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_089	0.000011	0.999304	0.999315	0.000675	0.00001
Bear_24_090	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_091	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_092	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_093	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_094	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_095	0.000011	0.999968	0.999979	0.00001	0.00001
Bear_24_096	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_097	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_098	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_100	0.00001	0.99997	0.99998	0.00001	0.00001
Bear_24_101	0.000011	0.999969	0.99998	0.00001	0.00001
Bear_24_102	0.000012	0.999968	0.99998	0.00001	0.00001
Bear_24_105	0.000012	0.995195	0.995207	0.004783	0.00001
BearCreek_20_001	0.043234	0.956746	0.99998	0.00001	0.00001
BearCreek_20_002	0.018675	0.981305	0.99998	0.00001	0.00001
BearCreek_20_003	0.038474	0.961506	0.99998	0.00001	0.00001
BearCreek_20_004	0.050253	0.947509	0.997762	0.002228	0.00001
