Ancestry	Diagnostics_cor	Diagnostics_rmse	ADMIXTURE_cor	ADMIXTURE_rmse	ELAI_cor	ELAI_rmse
CRT	1	0	0.9918667370183025	0.049146286746705105	0.9950363093200032	0.028112409066849697
IRT	1	0	0.9949000065855748	0.047747941963814024	0.9977884422972859	0.028427586268550728
RBT	1	0	0.9999817562518998	0.003253387467272931	0.9999413058097874	0.004714771081981514
WCT	1	0	0.9999814597901405	0.0029609250655556136	0.9999413166587365	0.00459615453760093
YCT	1	0	0.9999665510712039	0.0013362432752705598	0.9999091032882749	0.002059846624529379
