Sample_ID	Heterozygosity	Raw_Ancestry
Abbot_20_01	0.00717649697241534	0.9955146893922404
Abbot_20_03	0.0036459388292485314	0.9981770305853758
Abbot_20_26	0.010603253036854025	0.9940807082561252
AdamsBR3_17_01	0.00037519932464121565	0.9992496013507176
AdamsBR3_17_02	0.0017992083483267362	0.9991003958258367
AdamsBR3_17_03	0.0012652507907817442	0.9993673746046091
AdamsBR3_17_07	0.00020026033843997197	0.99969960949234
AdamsBR3_17_09	0.0024171888988361685	0.9987914055505819
AdamsBR3_17_11	0.0001854943424225561	0.9999072528287887
AdamsBR3_17_12	0.0013413216489314137	0.9991504962890101
AdamsBR3_17_13	0.0018052256532066508	0.9990973871733967
AdamsBR3_17_15	0.00205945558739255	0.9989702722063037
AdamsBR3_17_19	0.0011641443538998836	0.9994179278230501
AdamsBR3_17_20	0.0004745183638606814	0.9995729334725254
AdamsBR3_17_22	0.0010754615522495072	0.9992830256318337
AdamsBR3_17_24	0.0011631028003936655	0.9994184485998032
AdamsBR3_17_25	0.0010736333542095374	0.998657958307238
AdamsBR3_17_28	0.00026876903780684465	0.9996864361225587
ARD_20_01	0.0005932957579353308	0.9997033521210323
ARD_20_02	0.0008477769404672192	0.9994819140919367
ARD_20_03	0.0006798096532970768	0.9996600951733514
ARD_20_05	0.00046992481203007516	0.999671052631579
ARD_20_06	0.00022386389075442132	0.9998880680546228
ARD_20_07	0.0007550018875047187	0.9994337485843715
ARD_20_10	0.0005665722379603399	0.9994334277620397
ARD_20_11	0.0005721369314389244	0.9996185753790408
ARD_20_12	0.0010421601136901943	0.9994789199431549
ARD_20_13	0.0009410878976096367	0.9995294560511951
ARD_20_14	0.0010361718161266014	0.9994819140919367
ARD_20_15	0.000473305566073457	0.9996686861037486
ARD_20_16	0.0009394081728511038	0.9992484734617191
ARD_20_17	0.00021910604732690623	0.9998904469763366
ARD_20_18	0.0007764728719790353	0.9996117635640105
ARD_20_20	0.0005828071879553182	0.9996114618746964
ARD_20_21	0.0006135596686777789	0.9995909602208815
ARD_20_22	0.00047156465151372253	0.9996699047439404
ARD_20_23	0.0008602561651691837	0.9995698719174154
ARD_20_24	0.0008820070560564484	0.9995589964719718
ARD_20_25	0.0010728567248610163	0.9994635716375695
ARD_20_26	0.0006027727546714888	0.9996986136226642
ARD_20_27	0.000940910801656003	0.999529544599172
ARD_20_28	0.001005631536604988	0.9993966210780371
ARD_20_29	0.0008720930232558139	0.9995639534883721
ARD_20_30	0.00046908715639365793	0.9995778215592457
ARD_20_31	0.001052833078101072	0.9993778713629403
Arlee_06_04	0.0006651463321930824	0.9996674268339034
Arlee_06_05	0.0010990218705352237	0.9994504890647324
Arlee_06_10	0.0007627037849175327	0.9995233101344265
Arlee_06_11	0.00117096018735363	0.9994145199063232
Arlee_06_12	0.0008909126905563254	0.9994555533557712
Arlee_06_14	0.0012545739675901724	0.9993727130162049
Arlee_06_15	0.0009876543209876543	0.9995061728395062
Arlee_06_16	0.0006830601092896175	0.9995608899297423
Arlee_06_17	0.0009690861517588913	0.9995154569241206
Arlee_06_18	0.00041981528127623844	0.9996851385390428
Arlee_06_19	0.0011616650532429815	0.9994191674733786
Arlee_06_20	0.0004773725415314111	0.9995703647126217
Arlee_06_21	0.0006732711359045878	0.9996633644320477
Arlee_06_22	0.0009101941747572816	0.9995449029126213
Arlee_06_23	0.001079066117323916	0.9993623700215813
Arlee_06_24	0.0005048975058063213	0.9997475512470968
Arlee_08_02	0.0004884004884004884	0.9997557997557998
Arlee_08_07	0.00040945849114546015	0.9996929061316409
Arlee_08_08	0.0002918004085205719	0.9998540997957397
Arlee_08_09	0.00019280825219319386	0.9999035958739034
Arlee_08_11	0.000742469240560034	0.99962876537972
Arlee_08_13	0.0010193679918450561	0.9994903160040775
Arlee_08_14	0.001156555567237935	0.999421722216381
Arlee_08_16	0.0006265664160401002	0.99968671679198
Arlee_08_18	0.0008956115036322022	0.9995521942481839
Arlee_08_20	0.0014418917619917332	0.9992790541190041
Arlee_BY21_01_1	0.0006047167909695626	0.9996976416045152
Arlee_BY21_01	0.0007795751315533034	0.9996102124342233
Arlee_BY21_02	0.0012661926560825947	0.9993669036719587
Arlee_BY21_03	0.000308546744831842	0.9998457266275841
Arlee_BY21_04	0.0009649017006392474	0.9992763237245206
Arlee_BY21_05	0.001749271137026239	0.9991253644314869
Arlee_BY21_06	0.0020783847980997625	0.9989608076009501
Arlee_BY21_07	0.0006719139950086389	0.9996640430024957
ArleeBY_21_07	0.0007333394444953708	0.9996333302777524
Arlee_BY21_08	0.0010513036164844407	0.9993692178301093
Arlee_BY21_09	0.000474158368895211	0.9997629208155524
Arlee_BY21_10	0.00029726516052318666	0.9998513674197385
Arlee_BY21_13	0.0005297732570459843	0.9995232040686586
Arlee_BY21_15	0.0006903353057199211	0.99965483234714
Arlee_BY21_17	0.0006800738365879724	0.999659963081706
Arlee_BY21_18	0.00037105751391465676	0.9996907854050712
Arlee_BY21_19	0.0012253650566731338	0.9993873174716634
Arlee_BY21_20	0.001378766988378964	0.9993106165058105
Arlee_BY21_21	0.0022338880822070813	0.9988830559588965
Arlee_BY21_22	0.0006937561942517344	0.9993557978196234
Arlee_BY21_23	0.0003848003848003848	0.9998075998075998
Arlee_BY21_24	0.001745917633768101	0.9990243401458355
Arlee_BY21_25	0.0007699711260827719	0.9996150144369587
Arlee_BY21_27	0.0007051475773143951	0.9995466908431551
Arlee_BY21_29	0.0008839779005524862	0.9995580110497237
Arlee_BY21_30	0.0004928050463236743	0.9997535974768381
AT_AB_0228	0.001954397394136808	0.9990228013029316
AT_AT_0003	0.0006768516727905628	0.9996615741636047
AT_BB_0001	0.0018840839763143728	0.9989682397272565
AuburnFH_14_23	0.0	0.0
AuburnFH_14_24	0.0	0.0
AuburnFH_14_25	9.009820704567979e-05	4.504910352283989e-05
AuburnFH_14_26	0.0	0.0
AuburnFH_14_43	0.0	0.0
AuburnFH_14_44	0.0	0.0
AuburnFH_14_45	9.022013713460844e-05	4.511006856730422e-05
AuburnFH_14_46	0.0	0.0
B10_21_17	0.0005407354001441961	0.999098774333093
Baree_17_121	0.030831604752027154	0.015604374882142183
Baree_17_122	0.029329203368502563	0.014761397734972414
Baree_17_123	0.04185790343308243	0.021204332660179917
Baree_17_124	0.020756115641215715	0.014547813194959229
Baree_17_125	0.047864033073036286	0.029260450160771705
Baree_17_126	0.00028625954198473283	0.00014312977099236642
Baree_17_128	0.01320361362056984	0.006701082100665144
Baree_17_129	0.0006370586093920641	0.00031852930469603204
Baree_17_130	0.03162269606071558	0.01617275027105168
Baree_17_131	0.06604117325560212	0.03393149936236108
Baree_17_132	0.04402573529411765	0.022104779411764707
Baree_17_133	0.009775892280734114	0.004887946140367057
Baree_17_134	0.007202881152460984	0.003878474466709761
Baree_17_135	0.00032690421706440013	0.00016345210853220007
Baree_17_136	0.005248135530798269	0.0031765030844305314
Baree_17_137	0.03461900282220132	0.0180620884289746
Baree_17_138	0.1077207582061951	0.054600092464170136
