Sample_ID	Heterozygosity	Raw_Ancestry
Abbot_20_01	0.0007095973035302466	0.0003547986517651233
Abbot_20_03	0.0003237293622531564	0.0001618646811265782
Abbot_20_26	0.002312902692879564	0.001321658681645465
AdamsBR3_17_01	0.0	0.0
AdamsBR3_17_02	0.000141622999575131	7.08114997875655e-05
AdamsBR3_17_03	0.0001422879908935686	7.11439954467843e-05
AdamsBR3_17_07	0.0	0.0
AdamsBR3_17_09	0.00028074115665356543	0.00014037057832678272
AdamsBR3_17_11	0.00014596409283316303	7.298204641658152e-05
AdamsBR3_17_12	0.00014058765640376775	7.029382820188388e-05
AdamsBR3_17_13	0.0	0.0
AdamsBR3_17_15	0.00014078558355624384	7.039279177812192e-05
AdamsBR3_17_19	0.0	0.0
AdamsBR3_17_20	0.0	0.0
AdamsBR3_17_22	0.0	0.0
AdamsBR3_17_24	0.000140548137737175	7.02740688685875e-05
AdamsBR3_17_25	0.0	0.00014048890137679124
AdamsBR3_17_28	0.0001406271972999578	7.03135986499789e-05
ARD_20_01	0.00015432098765432098	7.716049382716049e-05
ARD_20_02	0.00029129041654529564	0.00014564520827264782
ARD_20_03	0.0004550280600637039	0.00037919005005308663
ARD_20_05	0.0005818181818181818	0.00043636363636363637
ARD_20_06	0.00070212392487274	0.00035106196243637
ARD_20_07	0.00014602803738317756	7.301401869158878e-05
ARD_20_10	0.0005840268652358008	0.0002920134326179004
ARD_20_11	0.0010376519418914913	0.0006670619626445301
ARD_20_12	0.0007333528894103843	0.000513347022587269
ARD_20_13	0.0005833454863642993	0.00043750911477322444
ARD_20_14	0.000145623998835008	7.2811999417504e-05
ARD_20_15	0.0004394316683755676	0.0002197158341877838
ARD_20_16	0.0007262164124909223	0.00036310820624546115
ARD_20_17	0.0006940829429116779	0.00034704147145583897
ARD_20_18	0.0	0.00030358227079538557
ARD_20_20	0.001053740779768177	0.0006774047869938281
ARD_20_21	0.00031730921783277807	0.00015865460891638903
ARD_20_22	0.0011702750146284377	0.0005851375073142189
ARD_20_23	0.0008892841262783459	0.0005928560841855639
ARD_20_24	0.0007608034083992696	0.0003804017041996348
ARD_20_25	0.00045475216007276033	0.00022737608003638017
ARD_20_26	0.0003145148608271741	0.00015725743041358704
ARD_20_27	0.0007274843590862796	0.0003637421795431398
ARD_20_28	0.0006361323155216285	0.0003180661577608143
ARD_20_29	0.0001505797319680771	0.00022586959795211565
ARD_20_30	0.0010164077246987077	0.0006534049658777406
ARD_20_31	0.0008870490833826139	0.0005913660555884093
Arlee_06_04	0.0010309278350515464	0.0005154639175257732
Arlee_06_05	0.0005225570458108344	0.0002612785229054172
Arlee_06_10	0.0005920663114268798	0.0002960331557134399
Arlee_06_11	0.00045717768972874126	0.00022858884486437063
Arlee_06_12	0.0004623208506703652	0.0002311604253351826
Arlee_06_14	0.0008160600620205648	0.0004080300310102824
Arlee_06_15	0.00045962923241918186	0.00038302436034931824
Arlee_06_16	0.0010585210948132466	0.0005292605474066233
Arlee_06_17	0.0006012325266796934	0.0003006162633398467
Arlee_06_18	0.0001658649859014762	0.0002487974788522143
Arlee_06_19	0.0007525586995785671	0.00037627934978928356
Arlee_06_20	0.00029748624126134165	0.00014874312063067083
Arlee_06_21	0.0013406822583047818	0.0006703411291523909
Arlee_06_22	0.0	0.00015790304752881732
Arlee_06_23	0.0006117143294081664	0.0003058571647040832
Arlee_06_24	0.00031710797526557794	0.00031710797526557794
Arlee_08_02	0.00019312475859405175	9.656237929702588e-05
Arlee_08_07	0.001120358514724712	0.000560179257362356
Arlee_08_08	0.0012176560121765602	0.0006088280060882801
Arlee_08_09	0.0007532389273877674	0.0003766194636938837
Arlee_08_11	0.0005011693952555964	0.0002505846976277982
Arlee_08_13	0.000643707756678468	0.000321853878339234
Arlee_08_14	0.0008291873963515755	0.00041459369817578774
Arlee_08_16	0.00032846115946789294	0.00016423057973394647
Arlee_08_18	0.0007724393635099645	0.0005407075544569751
Arlee_08_20	0.00044603033006244426	0.00022301516503122213
Arlee_BY21_01_1	0.0011054958938723942	0.0005527479469361971
Arlee_BY21_01	0.0010651247717589774	0.0005325623858794887
Arlee_BY21_02	0.0006098490623570666	0.00045738679676779996
Arlee_BY21_03	0.00032149172158816913	0.00016074586079408456
Arlee_BY21_04	0.0007652573177731012	0.0003826286588865506
Arlee_BY21_05	0.0010615711252653928	0.0005307855626326964
Arlee_BY21_06	0.0009195402298850574	0.0006130268199233716
Arlee_BY21_07	0.0007453786523553966	0.0003726893261776983
ArleeBY_21_07	0.0010161126433444621	0.0005080563216722311
Arlee_BY21_08	0.0006642311524410495	0.00033211557622052476
Arlee_BY21_09	0.001322556943423953	0.0006612784717119765
Arlee_BY21_10	0.00015349194167306216	7.674597083653108e-05
Arlee_BY21_13	0.0	0.0
Arlee_BY21_15	0.0007684032580298141	0.00038420162901490703
Arlee_BY21_17	0.0010574018126888218	0.0005287009063444109
Arlee_BY21_18	0.00019565642731363725	9.782821365681862e-05
Arlee_BY21_19	0.0009613843935266784	0.0004806921967633392
Arlee_BY21_20	0.0009157509157509158	0.0004578754578754579
Arlee_BY21_21	0.0013986013986013986	0.0006993006993006993
Arlee_BY21_22	0.0013918960717599752	0.0006959480358799876
Arlee_BY21_23	0.0004503152206544581	0.00022515761032722905
Arlee_BY21_24	0.0007970667941973537	0.0005579467559381476
Arlee_BY21_25	0.0008945877441479052	0.0004472938720739526
Arlee_BY21_27	0.00015693659761456373	7.846829880728186e-05
Arlee_BY21_29	0.0007005253940455342	0.0003502626970227671
Arlee_BY21_30	0.0	0.0
AT_AB_0228	0.0	0.0
AT_AT_0003	0.0	0.0
AT_BB_0001	0.0011301031219098743	0.0005650515609549371
AuburnFH_14_23	0.0005764519383196426	0.9997117740308402
AuburnFH_14_24	0.0004299842339114232	0.9997850078830443
AuburnFH_14_25	0.0002859185132237312	0.9998570407433881
AuburnFH_14_26	0.0004299842339114232	0.9997850078830443
AuburnFH_14_43	0.0008623167576889911	0.9995688416211556
AuburnFH_14_44	0.00028839221341023794	0.9998558038932949
AuburnFH_14_45	0.0007179781734635267	0.9996410109132683
