"Axis1","Axis2","Axis3","sample_id","population","group"
5.53108911564662,0.0599178032738984,1.35878344126487,"AdamsBR3_17_01","Adams","Athabasca"
6.1442567728673,-0.197900337516101,2.08336487630247,"AdamsBR3_17_02","Adams","Athabasca"
5.96184723171182,1.00948293092817,3.53977931019779,"AdamsBR3_17_03","Adams","Athabasca"
5.72404220213927,0.894684353147341,2.39353704558181,"AdamsBR3_17_07","Adams","Athabasca"
5.70338750362828,0.929327011570577,3.83711692718972,"AdamsBR3_17_09","Adams","Athabasca"
5.54039232308858,0.564458822875778,3.21422222953774,"AdamsBR3_17_11","Adams","Athabasca"
5.83151602339141,0.752808865962964,4.53942428496369,"AdamsBR3_17_12","Adams","Athabasca"
5.61975635915372,0.604950613474449,3.36123786712302,"AdamsBR3_17_13","Adams","Athabasca"
6.21223612813017,0.233688584570538,4.1024682054793,"AdamsBR3_17_15","Adams","Athabasca"
6.19360783411063,-0.205541342720691,2.10220072509126,"AdamsBR3_17_19","Adams","Athabasca"
6.00886582273951,0.844982958555572,4.32565749395474,"AdamsBR3_17_20","Adams","Athabasca"
6.09251110058711,-0.078755555250739,2.29711847377399,"AdamsBR3_17_22","Adams","Athabasca"
6.21635574184105,1.27989832859793,5.32762861007484,"AdamsBR3_17_24","Adams","Athabasca"
6.03067692148375,0.0234910362795096,2.47657809858351,"AdamsBR3_17_25","Adams","Athabasca"
5.93701550759655,1.41490611087284,4.83100291098463,"AdamsBR3_17_28","Adams","Athabasca"
2.55125779909941,6.45893916302788,-4.65942690135461,"ARD_20_01","Arlee","Hatchery_CRT"
2.49502970678922,7.87278069905642,-6.00373876384235,"ARD_20_02","Arlee","Hatchery_CRT"
2.93485850790978,6.78025092275693,-3.65727559385784,"ARD_20_03","Arlee","Hatchery_CRT"
2.87238959972602,7.27092296526497,-5.53870925083377,"ARD_20_05","Arlee","Hatchery_CRT"
1.98198664681065,6.51955595252875,-4.14398033021014,"ARD_20_06","Arlee","Hatchery_CRT"
2.58088243346019,8.45342715028456,-5.88882347259435,"ARD_20_07","Arlee","Hatchery_CRT"
3.23433250737648,6.58909942486498,-3.62175214288167,"ARD_20_10","Arlee","Hatchery_CRT"
2.82489936270298,7.44990873891694,-3.22969967479611,"ARD_20_11","Arlee","Hatchery_CRT"
2.97943744376622,7.15666658029912,-4.67583152867083,"ARD_20_12","Arlee","Hatchery_CRT"
2.44180870296332,7.93953289211634,-4.77138554380288,"ARD_20_13","Arlee","Hatchery_CRT"
2.87025071918434,8.11627532812889,-4.52812997921344,"ARD_20_14","Arlee","Hatchery_CRT"
1.87399381629321,9.02068178816083,-7.42436365249378,"ARD_20_15","Arlee","Hatchery_CRT"
3.44498622790622,5.91158766050533,-3.0506737331174,"ARD_20_16","Arlee","Hatchery_CRT"
2.08230034537204,6.43661437467843,-4.25277731587481,"ARD_20_17","Arlee","Hatchery_CRT"
